NOM_ETABL,NbreAnnexe,Adresse,Ville,TEL_ETAB,FAX_ETAB,email,Région,Province,Commune
El Fath,0,"Rue Ibn Haoukal, Avenu Hassan II - Agdal Riyad",Rabat,0537733742,0537769158,elfathecole@hotmail.fr,Rabat - Salé - Zemmour - Zaer,Rabat,Agdal Riyad (AR)
Es-saâda,0,"N° 12, Avenue Oqba - Agdal",Rabat,0537776393,0537776032,E.ESSAADA@HOTMAIL.COM,Rabat - Salé - Zemmour - Zaer,Rabat,Agdal Riyad (AR)
Badr,0,"N° 32, Avenue Ibn Toumert - Agdal Riyad",Rabat,0537708718,___-__-__-__,badroranger@yahoo.ca,Rabat - Salé - Zemmour - Zaer,Rabat,Agdal Riyad (AR)
Etablissement El Gharbi,0,"N° 84, Avenue Kamal Zebdi . Secteur  19 N 16 - Hay-Ryad",Rabat,0537711067,0537711821,asterix@menara.ma,Rabat - Salé - Zemmour - Zaer,Rabat,Agdal Riyad (AR)
Notre Dame De La Paix,0,"N° 6, Rue Aguelmane Sidi Ali - Agdal",Rabat,0537772960,0537774198,notredame@live.fr,Rabat - Salé - Zemmour - Zaer,Rabat,Agdal Riyad (AR)
Al Andaloussia,0,"N° 147, Guich Loudaya, Dakhla 7 - temara",temara,037-56-14-50,037-56-00-42,andalous99@hotmail.com,Rabat - Salé - Zemmour - Zaer,Skhirate Temara,Temara (M)
Etablissement Les Iris,2,"N° 10, Rue Akansous - Les Orangers",Rabat,0537732391,0537204008,ecolelesiris@menara.ma,Rabat - Salé - Zemmour - Zaer,Rabat,Agdal Riyad (AR)
THOMAS EDISON,0,"N° 18, Rue Al Farabi - Les Orangers",Rabat,0537734700,___-__-__-__,ins.farabi@gmail.com,Rabat - Salé - Zemmour - Zaer,Rabat,Agdal Riyad (AR)
Ibn Bachir,0,"Avenue El Hour, Secteur 7 - Hay Riyad",Rabat,0537711054,0537710494,ecolebelbachir1@gmail.com,Rabat - Salé - Zemmour - Zaer,Rabat,Agdal Riyad (AR)
Chellah,0,"N° 16, Rue Dayat Afrah - Agdal",Rabat,0537773396,0537773396,chahd09@HOTMAIL.FR,Rabat - Salé - Zemmour - Zaer,Rabat,Agdal Riyad (AR)
Al Ichraq,0,"Dakhla 7, N° 113, Guich Loudaya -  Riyad",temara,037-56-07-52,___-__-__-__,alichraq@hotmail.com,Rabat - Salé - Zemmour - Zaer,Skhirate Temara,Temara (M)
INSTITUT BLAISE Pascal,0,"Km 6, Avenue  Mohamed VI  - Souissi",Rabat,0537750420,0537655412,blaise-pascal-statistiques@hotmail.fr,Rabat - Salé - Zemmour - Zaer,Rabat,Souissi (AR)
IBrahim Al Khalil(ecole clair Soleil),0,"N° 9, Rue Gharb, Cité Administrative - El Youssoufia",Rabat,0537656831,0537758659,JPR_IBRAHIM_ALKHALIL@HOTMAIL..COM,Rabat - Salé - Zemmour - Zaer,Rabat,Souissi (AR)
Al Manbaâ,0,"27 Rue Zerhoun, Souissi",Rabat,0537750549,0537654399,institution.ALMANBAA@gmail.com,Rabat - Salé - Zemmour - Zaer,Rabat,Souissi (AR)
Chems el maarifa,0,"N° 5, Rue Ziyaida, Aviation - ",Rabat,0537754031,0537754031,chemselmaarifa@yahoo.fr,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
Menzeh El AMine,0,"N° 7, Rue Issil, Lotissement Mouline - Souissi",Rabat,0537756342,0537758526,manzehamine@yahoo.fr,Rabat - Salé - Zemmour - Zaer,Rabat,Souissi (AR)
Toubkal,0,"N° 4, Rue Rais Mohamed Baina -Route des Zaers Souissi",Rabat,0537759818,0537752339,institutiontoubkal@yahoo.fr,Rabat - Salé - Zemmour - Zaer,Rabat,Souissi (AR)
Groupe scolaire high - tech Az_zahra,0,Rue Chraga - Souissi,Rabat,0537756237,0537656830,gshightech@live.fr,Rabat - Salé - Zemmour - Zaer,Rabat,Souissi (AR)
Tarik Ibn Ziyad,0,"N° 28, Rue Mesfioua, Cité Administrative - El Youssoufia",Rabat,0537650278,0537632108,Lesecolestarikibnziyad73@hotmail.com,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
Mohamed Ben Ahmed Chemaou,0,"N° 8, Rue Oulad Amrane, Cité Administrative - El Youssoufia",Rabat,0665654368,___-__-__-__,ECOLECHMAOU@YAHOO.FR,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
AL AMAL ATTARBAOUI,0,"N° 1, Route Oulja, Aviation - El Youssoufia",Rabat,0537651924,0537651924,al_amal@menara.ma,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
Institut Youssoufia,0,"N° 164, Avenue Houmane Fatwaki - El Youssoufia",Rabat,0537652510,0537632150,institutyoussoufia@hotmail.com,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
Les Schtroumpfs,0,"N° 50, Hay OLM - Souissi 2",Rabat,0537755536,0537755536,les.schtroumpfs@yahoo.fr,Rabat - Salé - Zemmour - Zaer,Rabat,Souissi (AR)
Bir Kacem Assabil,0,"N° 89, Lotissement Ramdan, Avenue Bir Kacem -Souissi",Rabat,0537750591,0537636897,assabil@menara.ma,Rabat - Salé - Zemmour - Zaer,Rabat,Souissi (AR)
Le Grand Arc En Ciel,0,AVENUE MOHAMED VI RUE GUERROUANE SOUISSI,Rabat,0537639235,0537656113,legrandarcenciel@yahoo.fr,Rabat - Salé - Zemmour - Zaer,Rabat,Souissi (AR)
Ben M Barek,0,"N° 41, Avenue Oulad Said - Souissi",Rabat,0537636340,0537636341,contact@institutbenmbarek.com,Rabat - Salé - Zemmour - Zaer,Rabat,Souissi (AR)
Groupe Scolaire Atlas,0,"Km 4,2, Avenue Med VI- Souissi",Rabat,0537633800,0537659770,GSA@IIHEM.AC.MA,Rabat - Salé - Zemmour - Zaer,Rabat,Souissi (AR)
Fatima Fihria - Annexe,0,"N° 35, Rue Beni Malik, Aviation - El Youssoufia",Rabat,0537632505,___-__-__-__,jardindenfantsfatimaelfihriya@yahoo.fr,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
Jardin d Enfant Petit Collège,0,"N° 26, Rue Oulad Bouziri - El Youssoufia",Rabat,0537721533,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
Etablissment Les Lavandes,0,"N° 3 et N°5, Rue Zamrane - El Youssoufia",Rabat,0537755144,0537755144,leslavandes2@menara.ma,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
Leho Souissi,0,"N° 22, Avenue Souss, Aviation - Souissi",Rabat,0537631037,0537631037,inst.souissi@yahoo.fr,Rabat - Salé - Zemmour - Zaer,Rabat,Souissi (AR)
Al Hosna,0,"Rue Goundafa, Aviation - El Youssoufia",Rabat,0537746699,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
Madaris Assalam,0,"N° 38, Lotissement Mouline II - Souissi",Rabat,0537630408,0537630409,madarisassalam@yahoo.fr,Rabat - Salé - Zemmour - Zaer,Rabat,Souissi (AR)
Univers infini,0,"N° 7, Avenue Ahmed Balafrej - Souissi",Rabat,0537759257,___-__-__-__,ecolunivers@hotmail.com,Rabat - Salé - Zemmour - Zaer,Rabat,Souissi (AR)
La Petite Planète,0,"N° 9, Rue Maârif, Aviation - El Youssoufia",Rabat,0537751527,0537751527,PETITE-plANETE@HOTMAIL.COM,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
Fatima  El Fihria,1,"N° 5, Rue Oulad Hriz - El Youssoufia",Rabat,0537753751,0537753751,ecolefatimaelfihriya@yahoo.fr,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
alJil Assaid,0,"N° 9, Rue Satta, Aviation - El Youssoufia",Rabat,0661391897,___-__-__-__,aljilassaid@hotmail.fr,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
Les Anges,0,Rue Larbi Ben Abdellah - Souissi,Rabat,0537750578,___-__-__-__,elmalaika@hotmail.fr,Rabat - Salé - Zemmour - Zaer,Rabat,Souissi (AR)
El Afaq,0,"N° 7, Route Oulja, Aviation - El Youssoufia",Rabat,0537656688,___-__-__-__,ecole_alafaq@hotmail.com,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
Institut Al Achbal,0,"N° 7, Rue Oulja, Aviation - El Youssoufia",Rabat,0537652297,0537759999,alachbal.youssoufia@gmail.com,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
Etablissment La Princesse Lalla Aicha,0,Route Oulja - El Youssoufia,Rabat,0537768844,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
Ecole du Lac,0,"Rue Beni Oylid, Avenue Ain Khalouia - Souissi",Rabat,0537657960,0537755689,ecoledulac@menara.ma,Rabat - Salé - Zemmour - Zaer,Rabat,Souissi (AR)
Jabrane Khalil Jabrane,0,Bir Kacem - Souissi,Rabat,0537752948,0537752948,Khalilgibran1986@gmail.com,Rabat - Salé - Zemmour - Zaer,Rabat,Souissi (AR)
Jabrane Khalil Jabrane ,1,"Avenue Bir Kacem, - Souissi",Rabat,0537759659,0537759659,khalilgibran1986@gmail.com,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
INSTITUT AL WIFAQ ,0,"Km 7,500 Hay Les Ambassadeurs, Route des Zaers",Rabat,0537755964,___-__-__-__,alwifaq@menara.ma,Rabat - Salé - Zemmour - Zaer,Rabat,Souissi (AR)
Ghosn Azzaitoune,0,"N° 87, Avenue Mohamed VI, Aviation - El Youssoufia",Rabat,0537752078,0537752078,ghosnazzaitoune@hotmail.fr,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
Al Qods,0,"N° 36 Bis, Avenue Tadla - Mabella",Rabat,0537652041,0537775688,admalqods@hotmail.com,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
Achbal Takaddoum,0,"N° 135, Avenue Houmane Fatwaki - Takaddoum",Rabat,0537650862,___-__-__-__,achbaltakaddoum@yahoo.fr,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
Le Petit Collège,1,"N° 23, Rue Oulad Bouziri - Souissi",Rabat,0537653266,0537758706,petitcollege@gmail.com,Rabat - Salé - Zemmour - Zaer,Rabat,Souissi (AR)
AL MINBAT,0,"N° 37, Avenue Mehdi Ben Barka - Souissi",Rabat,0537750506,0537750506,institutionalminbat@gmail.com,Rabat - Salé - Zemmour - Zaer,Rabat,Souissi (AR)
Ecole AL Hayat,0,"N° 49, Rue Mellouza, Nahda 3 - El Youssoufia",Rabat,0537650391,___-__-__-__,alhayatnet@hotmail.com,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
 Lycee scientifique GALILEO,0,"N° 1404, Avenue des Far - Yacoub El Mansour",Rabat,0537292143,0537282809,salamamor@hotmail.com,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
"Les Bourgeons""FERMé""",0,"Villa 4, Hay Al Mountalak - Yacoub El Mansour",Rabat,,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
Walili,0,"N° 31, Hay Menzeh - Yacoub El Mansour",Rabat,0537791420,___-__-__-__,institutwalili@gmail.com,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
"Al Oumouma""Férmé""",0,"Bloc ""AD"", NO 1, Hay Massira - Yacoub El Mansour",Rabat,,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
El Manal Ettakafi,0,"G3, N° 158, Lotissmement Haj Slimane - Yacoub El Mansour",Rabat,0537795154,___-__-__-__,elmanal-attakafi@hotmail.com,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
Achbal Fath,0,"Groupe Immobilier, Hay Fath - Yacoub El Mansour",Rabat,0537790362,0537293757,achbalelfathrabat@hotmail.fr,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
El Hassania,0,"Lotissement El Menzeh, N° 1128 - Yacoub El Mansour",Rabat,0537793230,___-__-__-__,ecolehassania@hotmail.fr,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
Institut Assabah,0,"Residence Assabah, Secteur 9 - Yacoub El Mansour",Rabat,0537791168,___-__-__-__,assabahmaahad@yahoo.fr,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
ALMOSTAQBAL AZZAHER,0," Secteur "" D"" N° 3 Kouass - C.Y.M",Rabat,0537795444,0537293246,m.azahir@menara.ma,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
 Kenza Laghzaoui,0,"N° 5, Avenue Massira Khadra - Yacoub El Mansour",Rabat,0537799222,___-__-__-__,Kenzalarhzaoui@gmail.com,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
Al Ahram,0,"N° 350, Avenue Massira Khadra, Amal 4 Complément - CYM",Rabat,0537797581,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
Etablissement Al Idrissi,0,"N° 30, Avenue Assalam - Yacoub El Mansour",Rabat,0537695642,0537695642,instialidrissi@gmail.com,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
Al Manahil,0,"N° 1, Lotissement Koura 1, Chbanate - Yacoub El Mansour",Rabat,0537799938,0537799938,al-manahil@menara.ma,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
Attaoufik,0,"N° 51, Bloc ""AO"", Bouhlal - Yacoub El Mansour",Rabat,0537691139,0537694847,institution_attaoufik@hotmail.com,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
Sanabil Al Fath,0,"N° 244 Bis, Hay Fath - yacoub El Mansour",Rabat,0537280717,0537280717,sanabilalfath@hotmail.com,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
Chems Al Maârif,0,"N° 303, Hay Menzeh - Yacoub El mansour",Rabat,0612246817,___-__-__-__,Chemsmaarif_565@hotmail.fr,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
ERRAJAE,0,"Amal 5, N° 583, Massira - Yacoub El Mansour",Rabat,0537293886,___-__-__-__,ecole_rajaae@hotmail.fr,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
ECOLE ESSALAH PRIVEE,0,N 24 BLOC 5 CASABLANCA,CASABLANCA,0522579989,0,essalah-2009@hotmail.com,Grand Casablanca,Ben Msik,Ben M'sik (AR)
INSTITUT AL AHRAM PRIVEE,0,Bd RIDA GUDIRA N 3 et 7 CASABLANCA,CASABLANCA,0522370615,0,priveahram@yahoo.fr,Grand Casablanca,Ben Msik,Ben M'sik (AR)
ETABLISSEMENT ATTAHDIB PRIVEE,0,BLOC 14 N 15 CASABLANCA,CASABLANCA,0522371877,0,priveattahdib@gmail.com,Grand Casablanca,Ben Msik,Ben M'sik (AR)
HAY DJEMAA,0,1 BLOC 10 CITE DJEMAA,CASABLANCA,0522576186,0,eco.h.eljamaa@gmail.com,Grand Casablanca,Ben Msik,Ben M'sik (AR)
LYCEE KOUTOUBIA PRIVE,0,"RUE 22, N° 37, CITEE EL BOUANANIA CASABLANCA",CASABLANCA,0522371031,0,koutoubiaprive@yahoo.fr,Grand Casablanca,Ben Msik,Ben M'sik (AR)
GROUPE SCOLAIRE GHAZALA PRIVE,0,GROUPE 3 RUE 2 SALMIA II CASABLANCA,CASABLANCA,0522563852,0522563851,symp999@hotmail.com,Grand Casablanca,Ben Msik,Sbata (AR)
ECOLE GHAZALA PRIVEE,0,185 Bd EL JOUJANE SALMIA II CASABLANCA,Casablanca,0522575675,0,symp999@hotmail.com,Grand Casablanca,Ben Msik,Sbata (AR)
INSTITUTION EL FIKR PRIVEE,0,RUE 38 N 70 JAMILA 5 CASABLANCA,CASABLANCA,0522372100,0,elfikrinstitut@hotmail.fr,Grand Casablanca,Ben Msik,Sbata (AR)
EL AKHIAR PRIVEE,0,Bd DRISS EL HARTI N 348 CASABLANCA,CASABLANCA,0522371300,0,azarou2007@hotmail.fr,Grand Casablanca,Ben Msik,Sbata (AR)
LYCEE OMAR AL KHALIFA PRIVE,0,Bd JAMAL ADDORRAH JAMILA 5 N 39 CASABLANCA,CASABLANCA,0522370260,0522597035,omarelkhalifa@menara.ma,Grand Casablanca,Ben Msik,Sbata (AR)
INSTITUT KARIM,0,JAMILA 7 RUE 43 N 10 CITE DJEMAA,Casablanca,0522373372,0,kariminst@yahoo.com,Grand Casablanca,Ben Msik,Sbata (AR)
ETABLISSEMENT FATHI,0,HAY LAALOU RUE 1 N 74 CASABLANCA,CASABLANCA,0522373327,0522387682,etsfathi@gmail.com,Grand Casablanca,Ben Msik,Sbata (AR)
ETABLISSEMEN EL AHRAR III PRIVEE,0,20 Bd OUED EDDAHAB CASABLANCA,CASABLANCA,0522567831,0,elahrar3@hotmail.fr,Grand Casablanca,Ben Msik,Sbata (AR)
Errabie,,"Hay Rmal, N° 1, Avenue Mohamed V - Ouezzane",Sidi Kacem,037-90-74-15,___-__-__-__,,Tanger - Tetouan,Ouezzane,Ouezzane (M)
boustane al hamame,,"Avenue Allal Ben Abdellah, N° 51 - Ouezzane",Sidi Kacem,___-__-__-__,___-__-__-__,,Tanger - Tetouan,Ouezzane,Ouezzane (M)
Chahrazad,0,"Avenue Allal Ben Abdellah, N° 86 - Ouezzane",Ouezzane,0533744960,,CHAHR_OUEZZANE@HOTMAIL.FR,Tanger - Tetouan,Ouezzane,Ouezzane (M)
Ecole Hassania,0,"Rue 41, N° 18 - Sidi Kacem",Sidi Kacem,0664273676,___-__-__-__,,Gharb - Chrarda - Beni Hssen,Sidi Kacem,Sidi kacem (M)
LYCEE ELHIKMA,,"Hay Azaghar, N° 86 - Sidi Kacem",Sidi Kacem,037-59-26-64,___-__-__-__,,Gharb - Chrarda - Beni Hssen,Sidi Kacem,Sidi kacem (M)
G.S. Alaoui  Madarhri,0,"El Hay El Jadid, Rue 2, N° 36 - Sidi Kacem",Sidi Kacem,037-59-66-70,___-__-__-__,alaouimdarhri@hotmail.fr,Gharb - Chrarda - Beni Hssen,Sidi Kacem,Sidi kacem (M)
Lycée El Inbiaât Privé,,Bab Khemiss Arset El Mellak - Marrakech Medina,Marrakech,044-38-05-69,___-__-__-__,,Marrakech - Tensift - Al Haouz,Marrakech,Marrakech Medina (AR)
Lycée El Abdellaouia Privé,0,Bab Doukkala Pres de la Grande Mosquée -  Marrakech Medina,Marrakech Medina,044-38-55-95,___-__-__-__,@,Marrakech - Tensift - Al Haouz,Marrakech,Marrakech Medina (AR)
ECOLE SOS HERMANN GMEINER,,ECOLE SOS/CENTRE AIT OURIR,AIT OURIR,044-48-00-80,_44-48-00-79,ecolesoshg@yahoo.fr,Marrakech - Tensift - Al Haouz,Al Haouz,Ait Ourir (M)
Etablissement Al Moustakbal Privé,,Quartier Ennasr - Afourar,Azilal,023-44-09-25,___-__-__-__,,Tadla - Azilal,Azilal,Afourar
Ezzouhour,,Quartier Ouled Bani - Chichaoua,Chichaoua,___-__-__-__,___-__-__-__,,Marrakech - Tensift - Al Haouz,Chichaoua,Chichaoua (M)
Balabil Al Atlas,,Quartier Nahda - Chichaoua,Chichaoua,___-__-__-__,___-__-__-__,,Marrakech - Tensift - Al Haouz,Chichaoua,Chichaoua (M)
Ouled Bani,,Quartier Ouled Bani - Chichaoua,Chichaoua,___-__-__-__,___-__-__-__,,Marrakech - Tensift - Al Haouz,Chichaoua,Chichaoua (M)
Ennour,,Quartier Izourane - Imintanoute,Imintanoute,___-__-__-__,___-__-__-__,,Marrakech - Tensift - Al Haouz,Chichaoua,Imintanoute (M)
Assafina,,"Rue Laayoune, Imm. Akhtab Mohamed - Imintanoute",Imintanoute,___-__-__-__,___-__-__-__,,Marrakech - Tensift - Al Haouz,Chichaoua,Imintanoute (M)
Al Baraim,,Hay Tagadirt - Imintanoute,Imintanoute,___-__-__-__,___-__-__-__,,Marrakech - Tensift - Al Haouz,Chichaoua,Imintanoute (M)
Al Azhar,,Quartier Administratif Agni - Imintanoute,Imintanoute,___-__-__-__,___-__-__-__,,Marrakech - Tensift - Al Haouz,Chichaoua,Imintanoute (M)
Al Amal,,Quartier Tazrout - Imintanoute,Imiatanoute,___-__-__-__,___-__-__-__,,Marrakech - Tensift - Al Haouz,Chichaoua,Imintanoute (M)
Al Mokhtar Assoussi,,Quartier Administratif -  Imintanoute,Imintanoute,___-__-__-__,___-__-__-__,,Marrakech - Tensift - Al Haouz,Chichaoua,Imintanoute (M)
Youssef,,Place Moulay Youssef - Imintanoute,Chichaoua,___-__-__-__,___-__-__-__,,Marrakech - Tensift - Al Haouz,Chichaoua,Imintanoute (M)
Annajah,,Boulevard Mohamed V - Imantanoute,Imintanoute,___-__-__-__,___-__-__-__,,Marrakech - Tensift - Al Haouz,Chichaoua,Imintanoute (M)
Tagadirt,,Quartier Tagadirt - Imintanoute,Imintanoute,___-__-__-__,___-__-__-__,,Marrakech - Tensift - Al Haouz,Chichaoua,Imintanoute (M)
Al Mostaqbal,,Douar Lamzoudia - Lamzoudia,Chichaoua,___-__-__-__,___-__-__-__,,Marrakech - Tensift - Al Haouz,Chichaoua,Lamzoudia
Asmar,,Cité Asmar - Lamzoudia,Chichaoua,___-__-__-__,___-__-__-__,,Marrakech - Tensift - Al Haouz,Chichaoua,Lamzoudia
Annasser,,Douar Nouasseur - Sidi Bouzid Arragragui,Chichaoua,___-__-__-__,___-__-__-__,,Marrakech - Tensift - Al Haouz,Chichaoua,Sidi Bouzid Arragragui
Al Manar Sahra Privé,0,Boulevard Hommane El Fatwaki - Guelmim,Guelmim,0528872500,0528872500,almanarsahra@hotmail.com,Guelmim - Es-smara,Guelmim,Guelmim (M)
Institut Tarik Ibn Ziad,0,Place de la Marche Verte - Beni Mellal,Beni Mellal,023-48-36-32,___-__-__-__,tarik-ibn-ziad-bm@hotmail.com,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
Abou Alkacim Essaoumai,,Boulevard Mohamed V - Beni Mellal,Beni Mellal,023-48-37-83,___-__-__-__,,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
Abi Bakr Essidik,0,"Boulevard Hassan II, Ouled Hamdane - Beni Mellal",Beni Mellal,023-48-32-44,023-42-43-64,,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
El Ouch,,"Quartier Al Adarissa, Bd. Al Farabi, N° 7 - Beni Mellal",Beni Mellal,023-48-27-36,___-__-__-__,,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
Ibn Arabi,1,"N° 2, lot touta - Beni Mellal",Beni Mellal,023-48-21-49,___-__-__-__,elbiar_ibnarabi@hotmail.com,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
Le Printemps,,"N° 128, Boulevard Abdelkrim Al Khattaby - Beni Mellal",Beni Mellal,023-48-99-97,___-__-__-__,,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
Al Manzil Essaghir,,"Boulevard Hassan II, Ouled Hamdane - Beni Mellal",Beni Mellal,___-__-__-__,___-__-__-__,,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
El Firdaous,,rue zerktouni HAD BRADIA,FQUIH BEN SALAH,023-48-93-51,___-__-__-__,,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
Garderie Les Petits Poussins,,"Bloc 13, N° 85, Quartier El Houda - Beni Mellal",Beni Mellal,023-48-85-69,___-__-__-__,,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
AL Irfane,,"Avenue Hassan II, Quartier Adarissa, N° 11 - Beni Mellal",Beni Mellal,023-48-48-10,___-__-__-__,,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
Garderie Les Fleurs,,"Quartier Adarissa, Rue 3, N° 26 - Beni Mellal",Beni Mellal,022-16-94-22,___-__-__-__,,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
Assabah,,"Lot. Joulali, Bloc 1, N° 5, Ouled Hamdane - Beni Mellal",Beni Mellal,022-07-64-72,___-__-__-__,,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
Ibn Badis,,"N° 67, Avenue Baghdad, Cité Houda - Beni Mellal",Beni Mellal,023-48-79-93,___-__-__-__,,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
Al Awail,,"N° 28, Quartier Administratif, Avenue Ettaif - Beni Mellal",Beni Mellal,023-48-66-10,___-__-__-__,,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
Jil Al Moustakbal,0,"Complexe Oumnia, Boulevard 20 Aout - Beni Mellal",Beni Mellal,023-48-41-09,023-48-80-68,,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
Victor Hugo,0,"Avenue Hassan II, N° 314 - Beni Mellal",Beni Mellal,023-42-46-00,___-__-__-__,,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
Bilal,0,"N° 51, Quartier Houda - Beni Mellal",Beni Mellal,023-42-48-43,023-42-48-43,,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
Ezzahra,,"Quartier Ibn Sina, Rue 2, N° 14 - Beni Mellal",Beni Mellal,023-48-83-49,___-__-__-__,,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
Jaber Ibnou Hayane,,Boulevard Al Massira - Fquih Ben Salah,Beni Mellal,023-43-57-14,___-__-__-__,,Tadla - Azilal,Fkih ben salah,Fquih Ben Salah (M)
Abdelouahed Al Mourakouchi,,"Rue Omar Ben Rabia, N° 71 - Fquih Ben Saleh",Beni Mellal,023-43-54-15,___-__-__-__,,Tadla - Azilal,Fkih ben salah,Fquih Ben Salah (M)
Groupe scolaire eljahid,0,hay lmasala lot annakhil,fkih ben salah,0523431100,___-__-__-__,jahideco@gmail.com,Tadla - Azilal,Fkih ben salah,Fquih Ben Salah (M)
Al Moutanabi,,"Quartier Sami, Bloc B, N° 2 - Kasba Tadla",Kasba Tadla,023-44-74-27,___-__-__-__,,Tadla - Azilal,Beni Mellal,Kasba Tadla (M)
Etablissement  Pepinière Lamartinière,1,"Quartier Amal, Immeuble 155 Appt. 2 .3.4&5 - Kasba Tadla",Kasba Tadla,023.44.93.12,___-__-__-__,,Tadla - Azilal,Beni Mellal,Kasba Tadla (M)
El Amane,,"Quartier Errachidia, N° 43, Habit Economique - Kasba Tadla",Kasba Tadla,023-41-85-30,___-__-__-__,,Tadla - Azilal,Beni Mellal,Kasba Tadla (M)
Kalila Wa Dimna,,"Boulevard des FAR, N° 50 - Kasba Tadla",Kasba Tadla,023-44-70-36,___-__-__-__,,Tadla - Azilal,Beni Mellal,Kasba Tadla (M)
Mabroka,,"Quartier PAM, N° 187 - Kesba Tadla",Kasba Tadla,023-41-83-06,___-__-__-__,,Tadla - Azilal,Beni Mellal,Kasba Tadla (M)
 Ibnou Hazm,0,Quartier hassania bloc 5 n° 28 - Souk Sebt Ouled Nemma,fkih ben salah,023-47-13-69,___-__-__-__,ibnouhazm_091@yahoo.fr,Tadla - Azilal,Fkih ben salah,Souk Sebt Ouled Nemma (M)
Safir Essalam,1,"105 Bd, des FAR S/SEBT",Souk Sebt,023-47-26-95,023-47-13-93,safiressalam@live.fr,Tadla - Azilal,Fkih ben salah,Souk Sebt Ouled Nemma (M)
college l ange bleu,0,35    Avenue Ibn Toumert - El Jadida,eljadida,052335-28-17,052335-05-37,gsangebleu@gmail.com,Doukala - Abda,El Jadida,El Jadida (M)
collége IHSANE PRIVE,0,"N° 158, hay salam- El Jadida",El Jadida,023-35-27-48,023-35-27-48,"gs_ihsane@yahoo,fr",Doukala - Abda,El Jadida,El Jadida (M)
