NOM_ETABLISSENTFR,NOM_ETABLISSENTAR,ADRESSEFR,ADRESSEAR,TELEPHONE,PROVINCE,REGION
IMAM MALIK,الإمام مالك,RUE SIJILMASSA BELVEDERE ROCHES NOIRES,زنقة سجلماسة بلفدير الصخور السوداء,022-24-36-36,Ain Sebaa_Hay Mohammadi,Grand Casablanca
IBNOU AL AOUAM,ابن العوام,MAMAR  AL MADARIS AIN SEBAA,ممر المدارس عين السبع,0522-35-00-08,Ain Sebaa_Hay Mohammadi,Grand Casablanca
LYCEE DES SPORTIFS,ثانوية الرياضيين,ROUTE ALWAHDA AIN SEBAA,طريق الوحدة عين السبع,0522350610,Ain Sebaa_Hay Mohammadi,Grand Casablanca
AL FARABI,الفارابي,PROJET HASSAN 2 HAY MOHAMMADI,مشروع الحسن الثاني الحي المحمدي,0661799278,Ain Sebaa_Hay Mohammadi,Grand Casablanca
ABDELKRIM KHATTABI,عبد الكريم الخطابي,BD LA GRANDE CEINTURE HAY MOHAMMEDi,شارع الحزام الكبير الحي المحمدي,0522636657,Ain Sebaa_Hay Mohammadi,Grand Casablanca
Ibn sina,ابن سينا,Résidence al amane ain sebaa,إقامة الأمان عين السبع,,Ain Sebaa_Hay Mohammadi,Grand Casablanca
lycée téchnique Anoual,الثانوية التأهيلية التقنية أنوال,Haddaouia2 ain chock,الحداوية2 عين الشق الدارالبيضاء,0672419946,Ain Chok,Grand Casablanca
ABDELLAH EL AYACHI,عبدالله العياشي,Sidi Maarouf   La Colline2,2سيدي معروف - لاكولين -,0522786282,Ain Chok,Grand Casablanca
IBNO arabi,ابن عربي,SIDI MAAROUF,سيدي معروف,0662074550,Ain Chok,Grand Casablanca
ABDELKRIM AL KHATTABI,عبدالكريم الخطابي,dyar aljadida,الديار الجديدة,,Ain Chok,Grand Casablanca
ABDELKHALEK TORRES,عبدالخالق الطريس,HAY MY ABDELLAH RUE 101,حي مولاي عبدالله  زنقة101,022-87-34-13,Ain Chok,Grand Casablanca
LAMSALLA,المصلى,HAY MOULAY ABDELLAH Ain chok,حي مولاي عبد الله  عين الشق  ,0522212872,Ain Chok,Grand Casablanca
IBN ZAYDOUNE,ابن زيدون,HAY MY ABDELLAH BD TMARA,حي مولاي عبداله شارع اتمارة,022-21-33-06,Ain Chok,Grand Casablanca
OTHMANE BEN AAFFANE,عثمان ابن عفان, SIDI MAAROUF OULED HADDOU,سيدي معروف اولاد حدو,0522-32-18-25,Ain Chok,Grand Casablanca
IBN EL HAYTAM,ابن ا لهيثم,BD IBN EL HAITAM  HAY HASSANI,زنقة ابن الهيثم زاوية شارع ابن سينا الحي الحسني,0522-90-31-63,Hay Hassani,Grand Casablanca
IBN AL YASSAMINE,ابن الياسمين,HAY MAZOULA RUE  N4 , حي مازولا زنقة رقم 4,0522-90-34-19,Hay Hassani,Grand Casablanca
ABDEL AZIZ ELFACHTALI,عبد العزيز الفشتالي,BD WADI LOUKOUS HAY OULFA,شارع وادي اللوكوس الألفة,0522-90-58-77,Hay Hassani,Grand Casablanca
IBNOU ROCHD,ابن رشد,LISSASFA OULIA  EL OULFA,ليساسفة العليا الألفة,0522651485,Hay Hassani,Grand Casablanca
IBNOU AL BNAA ALMOURAKOCHI,إبن البناء المراكشي,HAY LAYMOUNE LISSASSFA,,0672421297,Hay Hassani,Grand Casablanca
OMAR AL KHAIAM,عمر الخيام,EL OULFA HAY HASSANI,حي الليمون-الولفة -عمالة الحي الحسني,0672418585,Hay Hassani,Grand Casablanca
ESSALAM,السلام,HAY ESSALAM HAY HASSANI,حي السلام الحي الحسني,,Hay Hassani,Grand Casablanca
BADR,بــدر,BDafghanistane hay hassani,  شارع أفغانستان,0661792890,Hay Hassani,Grand Casablanca
Ibn Khaldoune,ابن خلدون,Lissassfa Al aoulya,ليساسفة العليا,,Hay Hassani,Grand Casablanca
AMR IBN AL AASS,عمرو بن العاص,HAY ZOUBIR LISSASFA,حي الزبير ليساسفة,061103183,Hay Hassani,Grand Casablanca
TAREK IBN ZIAD,طارق ابن زياد,HAY  OULFA,حي الألفة,0522933152,Hay Hassani,Grand Casablanca
EL KADI AYAD,القاضي عياض,LOTISS NASSIM LISSASFA CASA,تجزئة النسيم ليساسفة البيضاء,0522914764,Hay Hassani,Grand Casablanca
EL MOATAMID BNOU ABBAD,المعتمد بن عباد,Salmia1 Bd Maqdad Laherizi ,السالمية 1  شارع مقداد لحريزي ,0522384371,Ben Msik,Grand Casablanca
FATIMA AL FIHRIA,فاطمة الفهرية,hay khalid sbata,حي خالد قرية الجماعة,0661732037,Ben Msik,Grand Casablanca
IBN ROCHD,ابن رشد,EL AHD EL JADID HAY JAOUADI rue21,حي العهد الجديد جوادي ,0522371089,Ben Msik,Grand Casablanca
HASSAN  II,الحسن الثاني,JAMILA 5 CITE DJEMAA sbata,جميلة5قرية الجماعة,0522371470,Ben Msik,Grand Casablanca
OUED EDDAHAB,وادي الدهب,AVOUED EDDAHAB JAMILA 7 COMMUNE SBATA,شارع وادي الدهب جميلة7 اسباتة,0522372148,Ben Msik,Grand Casablanca
EL KINDI,الكندي,AVENUE MOQDAD LAHRIZI DERB KHALED SBATA,شارع مقداد لحريزي درب خالد اسباتة,0522381817,Ben Msik,Grand Casablanca
ECH CHARIF EL IDRISSI,الشريف الإدريسي,HAY MD BELHASSANE EL OUAZZANI,حي محمد بلحسن الوزاني شارع الوحدة الإفريقية,0522373640,Ben Msik,Grand Casablanca
IBN M SIK,ابن امسيك,HAY MD BEN LAHSSANE EL OUAZZANI,حي محمد بلحسن الوزاني,0522375498,Ben Msik,Grand Casablanca
ABOU CHOUAIB EDDOUKKALI,أبو شعيب الدكالي,BD AL JOULANE,شارع الجولان,0522386633,Ben Msik,Grand Casablanca
MOULAY ISMAIL,مولاي اسماعيل,AVENUE IDRISS ELHARTI,شارع إدريس الحارثي,022-37-38-84,Moulay R'chid_Sidi Otmane,Grand Casablanca
DRISS EL HARTI,إدريس الحارثي,AVENUE IDRISS ELHARTI,شارع إدريس الحارثي,022-37-29-04,Moulay R'chid_Sidi Otmane,Grand Casablanca
EL MOKHTAR ESSOUSSI,المختار السوسي, HAY MOHAMED BELARABI ALAOUI   SIDI OTHMANE 2 RUE4,حي محمد بلعربي العلوي  سيدي عثمان 2 الزنقة 4,022-37-32-72,Moulay R'chid_Sidi Otmane,Grand Casablanca
JAAFAR EL FASSI,جعفر الفاسي,AVENUE EL AKID EL ALLAM MOULAY RACHID,شارع العقيد العلام ملاي رشيد,022-70-08-95,Moulay R'chid_Sidi Otmane,Grand Casablanca
ABDERRAHMANE BELKORCHI,عبد الرحمان بلقرشي,AVENUE DRISS EL HARTI,محج إدريس الحارثي,022-37-12-99,Moulay R'chid_Sidi Otmane,Grand Casablanca
ABDELMALEK ESSAADI,عبد المالك السعدي,AVENUE DES FORCES AUXILIERES HAY ESSADRI,شارع القوات المساعدة حي السدري,0522-70-80-08,Moulay R'chid_Sidi Otmane,Grand Casablanca
MOULAY IDRISS,مولاي إدريس,HAY MOULAY RACHID Bloc 4,حي مولاي رشيد بلوك 4,0522-72-67-03,Moulay R'chid_Sidi Otmane,Grand Casablanca
ABDELLAH EL MEDIOUNI,عبد الله المديوني,bd 20 aout ALMADINA ALJADIDA HAY MOULAY RACHID,شارع 20 غشت المدينة الجديدة حي مولاي رشيد,0661785990,Moulay R'chid_Sidi Otmane,Grand Casablanca
ELMAKDISSI,المقدسي,EL BAIDA 2 Elmadina Eljadida  Moulay Rachid,البيضاء 2، المدينة الجديدة، مولاي رشيد,0662071321,Moulay R'chid_Sidi Otmane,Grand Casablanca
ALMAKI ANASSIRI,المكي الناصري,Lahraouyne Sidi Otmane,الهراويين سيدي عثمان,,Moulay R'chid_Sidi Otmane,Grand Casablanca
FATIMA EL FIHRIA,فاطمة الفهرية,SIDI MOUMEN,سيدي مومن,,Sidi Bernoussi,Grand Casablanca
WALLADA,ولادة,HAY ANASSI,حي أناسي,,Sidi Bernoussi,Grand Casablanca
bnou roumi,ابن الرومي,Sidi Bernoussi,سيدي البرنوصي,0672423840,Sidi Bernoussi,Grand Casablanca
zineb enafzawia,زينب النفزاوية,Sidi Moumen,سيدي مومن,,Sidi Bernoussi,Grand Casablanca
ALLAL BEN ABDELLAH ,علال بن عبد الله,SIDI MOUMEN, سيدي مومن,0669530720,Sidi Bernoussi,Grand Casablanca
Chahid Driss Elhrizi,الشهيد ادريس الحريزي,Quartier El Azhar,حي الأزهر,212672406789,Sidi Bernoussi,Grand Casablanca
ALAZHAR,الأزهر,hay al azhar  sidi moumen,حي الأزهر سيدي مومن,073238915,Sidi Bernoussi,Grand Casablanca
HASSAN BNOU TABIT,حسان بن تابث,rue 9 hay al otour sidi moumen,زنقة 9 حي العطور سيدي مومن,0661579456,Sidi Bernoussi,Grand Casablanca
EL MANSOUR EDDAHBI,المنصور الذهبي,SIDI MOUMEN,سيدي مومن,022715807,Sidi Bernoussi,Grand Casablanca
MOHAMED VI,محمد السادس أناسي,hay anassi sidi moumen,حي أناسي سيدي مومن,0522-73-18-34,Sidi Bernoussi,Grand Casablanca
OTHMANE BNOU AFFANE,عثمان بن عفان,HAY EL QODS SIDI BERNOUSSI,حي القدس سيدي البرنوصي,0522741914,Sidi Bernoussi,Grand Casablanca
KHADIJA OUM AL MOUMININE,خديجة أم المؤمنين,bd houcine soussi SIDI MOUMEN,شارع الحسين السوسي سيدي مومن,0522728761,Sidi Bernoussi,Grand Casablanca
IBNOU ALMOUATAZ,ابن المعتز,AVENUE AHMED AHRASS SIDI BERNOUSSI,شارع أحمد اهراس سيدي البرنوصي,0522-73-11-68,Sidi Bernoussi,Grand Casablanca
MOKHTAR SOUSSI,المختار السوسي,AVENUE EL MOTANNA BNOU HARITA SIDI BERNOUSSI,شارع المثنى بن حارثة سيدي البرنوصي,0522-73-21-79,Sidi Bernoussi,Grand Casablanca
IBNOU MANDOUR,ابن منظور,BLOC MANSOUR 2 sidi  BERNOUSSI,بلوك المنصور 2 سيدي البرنوصي,0522-73-11-67,Sidi Bernoussi,Grand Casablanca
IBNOU CHOUHAID,ابن شهيد,avenue  H bd Abi dar elghaffari  SIDI BeRNOUSSI,محج هـ شارع ابي در الغفاري سيدي البرنوصي,0522-73-10-46,Sidi Bernoussi,Grand Casablanca
MOHAMMED VI,محمد السادس,bd al adarissa SIDI MOUMEN,شارع الأدارسة سيدي مومن,0522-70-38-28,Sidi Bernoussi,Grand Casablanca
EL AKKAD,العقاد,hay el oualaa attacharouk sidi moumen,حي الولاء التشارك سيدي مومن,0225.70-44-44,Sidi Bernoussi,Grand Casablanca
ADDAKHLA,الداخلة,ACHARAF SIDI MOUMEN,الشرف سيدي مومن,0661728759,Sidi Bernoussi,Grand Casablanca
IBNOU AL HAITAM,ابن الهيثم,HAy ELKARYA SIDI MOUMEN JDID, حي القرية سيدي مومن الجديد,0661579870,Sidi Bernoussi,Grand Casablanca
LYCEE QUALIFIANT  ABDELKARIM AL KHATABI,الثانوية التأهيلية عبد الكريم الخطابي,Commune BAB BERRED CHEFCHAOUEN,باب برد المركز جماعة باب برد,0613187882,Chefchaouen,Tanger - Tetouan
lycee qualifiant PRINCE MOULAY RACHID,الثانوية التأهيلية الأمير مولاي رشيد,RUE MOHAMED ABDOU COMMUNE CHEFCHAOUEN,شارع محمد عبدو,0539-98-67-25,Chefchaouen,Tanger - Tetouan
LYCEE QUALIFIANT IMAM CHADLI D ENSEIGNEMENT ORIGINAL,الثانوية التأهيلية الإمام الشادلي للتعليم الاصيل,AVENUE HASSAN II COMMUNE CHEFCHAOUEN,شارع الحسن الثاني بلدية شفشاون,0539-98-67-09,Chefchaouen,Tanger - Tetouan
LYCEE QUALIFIANT HAJ MOHAMED BEN HSAIN EL HADRI, الثانوية التأهيلية الحاج محمد بن احساين الحضري,BNI AHMEDCBNI AHMED CHERQIACHEFCHAOUEN,بني أحمد جماعة بني أحمد الشرقية  شفشاون,039-98-77-77,Chefchaouen,Tanger - Tetouan
LYCEE QUALIFIANT KADI AYAD,الثانوية التأهبلية القاضي عياض,AL JABHACM TIOUACHEFCHAOUEN,الجبهة جماعة متيوة,039-98-78-74,Chefchaouen,Tanger - Tetouan
LYCEE QUALIFIANT AL WAHDA AL IFRIQUIA,الثانوية التأهيلية الوحدة الإفريقية,BAB TAZACBAB TAZACHEFCHAOUEN,باب تازة جماعة باب تازة,039-98-77-18,Chefchaouen,Tanger - Tetouan
LYCEE QUALIFIANT OMAR EL JAYDI,الثانوية التأهيلية عمر الجيدي,COMMUNE RURALE STEHAT CHEFCHAOUEN, جماعة سطيحة,0539-88-48-49,Chefchaouen,Tanger - Tetouan
LYCEE QUALIFIANT MOHAMED ZERKTOUNI,الثانوية التأهيلية محمد الزرقطوني,COMMUNE BNI RZINE PROVINCE CHEFCHAOUEN,جماعة بني رزين شفشاون,0655790855,Chefchaouen,Tanger - Tetouan
LYCEE QUALIFIANT AHMED IDRISSI,الثانوية التأهيلية أحمد الإدريسي,Quartier administratif AIN HAOUZI ,الحي الإداري عين الحوزي ,,Chefchaouen,Tanger - Tetouan
LYCEE QUALIFIANT MOHAMED EL BAQALI,الثانوية  التأهيلية محمد البقالي,FIFI CENTRE,فيفي المركز جماعة فيفي,0669594981,Chefchaouen,Tanger - Tetouan
LYCEE TECHNIQUE AL KHAOUARIZMI,الثانوية التقنية الخوارزمي,AV MOHAMED ABDOU CHEFCHAOUEN,شارع محمد عبدو شفشاون,0655790852,Chefchaouen,Tanger - Tetouan
Lycée technique Chichaoua,الثانوية التقنية شيشاوة,Hay Annahda Municipalité de Chichaoua,حي النهضة بلدية شيشاوة ,,Chichaoua,Marrakech - Tensift - Al Haouz
Lycée qualifiant LAMZOUDIA,الثانوية التأهيلية لمزوضية,Lamzoudia,لمزوضية,0654827089,Chichaoua,Marrakech - Tensift - Al Haouz
Lycée qualifiant Ait hadi,الثانوية التأهيلية ايت هادي,Dar Hmad,دار حماد,,Chichaoua,Marrakech - Tensift - Al Haouz
Lycee qualifiant AL ATLASS,الثانوية التأهيلية الأطلس,CENTRE COM DOUIRANE,مركز  جماعة ادويران,024353717,Chichaoua,Marrakech - Tensift - Al Haouz
LYCEE QUALIFIANT IBN ROCHD,الثانوية التأهيلية ابن رشد,CENTRE SIDI L MOKHTAR,المركز  الحضري سيدي المختار,0673086891,Chichaoua,Marrakech - Tensift - Al Haouz
LYCEE QUALIFIANT AL KHAWARIZMI,الثانوية التأهيلية الخوارزمي,CENTRE COM MEJJAT,مركز  جماعة مجاط,,Chichaoua,Marrakech - Tensift - Al Haouz
LYCEE QUALIFIANT IBN ALARABI,الثانوية التأهيلية ابن العربي,HAY EL MASSIRA  MUNICIPALITE CHICHAOUA,حي المسيرة  ،  بلدية  شيشاوة,0673086876,Chichaoua,Marrakech - Tensift - Al Haouz
LYCEE QUALIFIANT IMAM ALBOUKHARI,الثانوية التأهيلية الإمام البخاري,CITE MOHAMMADI  MUNICIPALITE CHICHAOUA,الحي المحمدي ، بلدية شيشاوة,0673086874,Chichaoua,Marrakech - Tensift - Al Haouz
LYCEE QUALIFIANT IBN ALHAITEM,الثانوية التأهيلية ابن الهيثم,CITE ADMINISTRATIVE  MUNICIPALITE IMINTANOUTE,الحي الإداري  ، بلدية امنتانوت,0673086889,Chichaoua,Marrakech - Tensift - Al Haouz
ENNAKHIL,الثانوية التأهيلية  النخيل, CENTRE HAD BELFAA,المركز حد بلفاع,0528206293,Chtouka Ait Baha,Sous-Massa-Draa
AL MASSIRA AL KHADRA,الثانوية التأهيلية  المسيرة الخضراء,MASSA CENTRE   COMMUNE MASSA,حي الزاويت ماسة المركز,0528-25-50-40,Chtouka Ait Baha,Sous-Massa-Draa
Lycee ALJOULANE,الثانوية التأهيلية  الجولان,Bvd MOULAY ABDELLAH HAY ALJOULANE,شارع مولاي عبد الله الجولان,028-81-81-01,Chtouka Ait Baha,Sous-Massa-Draa
AL ARBI AL BANAI,الثانوية التأهيلية  العربي  البناي, HAY LHARCH  AGHBALOU  SIDI WASSAY,حي الحرش أغبالو سيدي وساي,0528-25-50-47,Chtouka Ait Baha,Sous-Massa-Draa
lycee qualifiant alkHawarizmi,الثانوية التأهيلية  الخوارزمي,CENTRE KHMISS AIT AMIRA,مركز خميس أيت عمبرة,0661915452,Chtouka Ait Baha,Sous-Massa-Draa
IBNOU ZOHR,الثانوية التأهيلية إبن زهر,HAD BELFAA,مركز حد بلفاع,02820969,Chtouka Ait Baha,Sous-Massa-Draa
Lycee Qualifiant  Ait Baha,الثانوية التأهيلية آيت باها,BP  476 ait baha  chtouka ait baha,ص ب: 476 أيت باها اقليم اشتوكة آيت باها,0528254191,Chtouka Ait Baha,Sous-Massa-Draa
Lycée SIDI LHADJ LHBIB,الثانوية التأهيلية  سيدي الحاج الحبيب,CENTRE  SIDI BIBI,مركز سيدي بيبي,0528816450,Chtouka Ait Baha,Sous-Massa-Draa
lycee qualifiant AL MORABITINE,الثانوية التأهيلية المرابطين,CITE SIDI SAID,حي سيدي سعيد,,Chtouka Ait Baha,Sous-Massa-Draa
EL FADILA,الفضيلة,DOUAR ADOUZ OSSAOUD,دوار أدوز سعود,061619529,Chtouka Ait Baha,Sous-Massa-Draa
TOULOUJ,الثلوج,AIN SIHAND ELHAJEB HAUT,عين سيحند الحاجب الاعلى,061912065,El Hajeb,Meknès - Tafilalet
OMAR BEN ABDELAZIZ,عمر بن عبد العزيز,AGOURAI,اكوراي,0535-43-04-07,El Hajeb,Meknès - Tafilalet
16 NOVEMBRE QUALIFIANT,16  نونبر التأهيلية   ,BOUDERBALA AIT BOUBIDMANE, بودربالة ايت بوبدمان,061911363,El Hajeb,Meknès - Tafilalet
IBN AL KHATIB,ابن الخطيب,EL HAJEB BAS,الحاجب الاسفل,035-54-30-55,El Hajeb,Meknès - Tafilalet
11 JANVIER,11 يناير,NARJISS 1 ain TAOUJDATE,النرجس1 عبن تاوجطات,0535-44-00-98,El Hajeb,Meknès - Tafilalet
LYCEE AGRICOLE AIN TAOUJDATE,الثانوية الفلاحية عين تاوجطات,BP  22  TAOUJDATE,ص ب : 22 تاوجطات,035-44-08-63,El Hajeb,Meknès - Tafilalet
IBN SINA,ابن سينا,HAY AGDAL SBAA AIYOUN,حي اكدال سبع عيون,0535546385,El Hajeb,Meknès - Tafilalet
6 NOVEMRE,6 نونبر,HAD OULED FREJ COMMUNE OULED FREJ,اولاد فرج,0523-36-44-03,El Jadida,Doukala - Abda
EL KADI AYAD, القاضي عياض,AVENUE ATTAHRIR N 82,نهج التحرير الرقم 82,023343210,El Jadida,Doukala - Abda
IMAM EL BOUKHARI,الامام البخاري,Q ADMINISTRATIF MUNICIPALITE BIR JDID,الحي الاداري,0523-36-00-40,El Jadida,Doukala - Abda
MOHAMED ER-RAFII,محمد الرافعي,RUE MOULAY DRISS,زنقة مولاي ادريس,023-34-22-53,El Jadida,Doukala - Abda
MOULAY ABDELLAH,مولاي عبد الله,CENTRE  COMMUNE MOULAY ABDELLAH,مركز جماعة مولاي عبد الله,061069116,El Jadida,Doukala - Abda
OUM ERRABIA,أم الربيع,HAY EL AMAL MUNICIPALITE D AZEMMOUR,حي الأمل -أزمور,0523-34-72-09,El Jadida,Doukala - Abda
IBN KHALDOUN,ابن خلدون,AVENUE IBN KHALDOUN ,شارع بن خلدون,0523-34-20-93,El Jadida,Doukala - Abda
LYCEE TECHNIQUE RAZI,الثانوية التقنية الرازي,KOUDAITE BEN IDRISS MUNICIPALITE D EL JADIDA,شارع النخيل الجديدة,0523-34-32-87,El Jadida,Doukala - Abda
ABOU CHOUAIB DOUKKALI,أبو شعيب الدكالي,AVENUE AHMED CHAOUKI ,شارع أحمد شوقي,0523342811,El Jadida,Doukala - Abda
BIR ANZARANE,بئر أنزران,AVENUE VARENNE MUNICIPALITE D EL JADIDA,نهج فارين بلدية الجديدة,0523-34-35-31,El Jadida,Doukala - Abda
EL QODS,القدس,NAHJ DOUKKALA,نهج دكالة ,0523392240,El Jadida,Doukala - Abda
JORF LASFAR,الجرف الاصفر,CENTRE SIDI SMAIL,مركز سيدي اسماعيل,0523362253,El Jadida,Doukala - Abda
CHAOUKI,شوقي,LYCEE CHAOUKI . MOULAY ABDELLAH.,ثانوية شوقي التأهيلية . مولاي عبدالله,0523383447,El Jadida,Doukala - Abda
Oqbah bnou Nafie,عقبة بن نافع,lycee qualifiant oqbah bnou nafie,الثانوية التاهيلية عقبة بن نافع,0662107119,El Jadida,Doukala - Abda
Al massira,المسيرة,Ouled Ghanem,أولاد غانم,,El Jadida,Doukala - Abda
Lycée Qualifiant  El Khawarizmi,الثانوية التاهيلية الخوارزمي,Commune Zemrane charquia,جماعة زمران الشرقية,0673078332,El Kelaa Des Sraghna,Marrakech - Tensift - Al Haouz
Lycée Qualifiant  Anas Ibn Malek,الثانوية التاهيلية انس بن مالك,Commune KALAA DES SRAGHNA,جماعة قلعة السراغنة,,El Kelaa Des Sraghna,Marrakech - Tensift - Al Haouz
Lycée Qualifiant El Maghreb El Arabi,ثانوية المغرب العربي التأهيلية,Municipalité de kalaa des sraghna,بلدية قلعة السراغنة,0661059865,El Kelaa Des Sraghna,Marrakech - Tensift - Al Haouz
Nokhbat abla,نخبة عبلة,complexe economique et social- kalaa,المركب الاقتصادي و الاجتماعي، القلعة,,El Kelaa Des Sraghna,Marrakech - Tensift - Al Haouz
lycee qualifiant IBNOU SINA,الثانوية التاهيلية ابن سينا,ESSAHRIJ,الصهريج,,El Kelaa Des Sraghna,Marrakech - Tensift - Al Haouz
Lycée qualifiant SIDI RAHAL, الثانوية التأهيلية سيدي رحال,SIDI RAHAL EL KELLA DES SRAGHNA,بلدية سيدي رحال,0661108371,El Kelaa Des Sraghna,Marrakech - Tensift - Al Haouz
LYCEE QUALIFIANT ELQODS,ثانوية القدس التأهيلية ,BLOC NAKHLA 1 ELKELAA DES SRAGHNA,بلوك  النخلة  1  ,0661056861,El Kelaa Des Sraghna,Marrakech - Tensift - Al Haouz
Lycée qualifiant TAMELLALET,الثانوية التأهيلية تملالت,TAMALLALET CENTRE,بلدية تملالت,061056708,El Kelaa Des Sraghna,Marrakech - Tensift - Al Haouz
Lycée qualifiant RAHALI ELFAROUQ,االثانوية التأهيلية الرحالي الفاروق,EL ATTAOUIA CENTRE,بلدية العطاوية,0661107823,El Kelaa Des Sraghna,Marrakech - Tensift - Al Haouz
 Lycée qualifiant EL IMAM ALI,االثانوية التأهيلية الامام علي,EL KELAA CENTRE,القلعة المركز,0661059865,El Kelaa Des Sraghna,Marrakech - Tensift - Al Haouz
Lycée qualifiant EL AMRIA,االثانوية التأهيلية العامرية,COMMUNE EL AMRIA,جماعة العامرية,-  -  -,El Kelaa Des Sraghna,Marrakech - Tensift - Al Haouz
Lycée qualifiant MOULAY ISMAEL,الثانوية التأهيلية مولاي اسماعيل,BLOC EL BAHJA EL KELAA,بلوك البهجة,0661725707,El Kelaa Des Sraghna,Marrakech - Tensift - Al Haouz
Lycée qualifiant TASSAOUT,الثانوية التأهيلية تساوت,MUNICIPALITE EL KELAA,بلدية القلعة,0661059587,El Kelaa Des Sraghna,Marrakech - Tensift - Al Haouz
IBNou HAZM,ابن حزم,MDAGHRA,مدغرة,0535791634,Errachidia,Meknès - Tafilalet
Princesse LALLA SALMA,الاميرة للا سلمى,CENTRE RISSANI,مركز الريصاني,0661911389,Errachidia,Meknès - Tafilalet
IMAM MALIK,الامام مالك,rue mohamed VI route de meknes errachidia ,شارع محمد السادس  طريق مكناس ,0535572361,Errachidia,Meknès - Tafilalet
TECHNIQUE,الثقنية,CITE boutalamine ERRACHIDIA,حي بوتلامين الرشيدية,0535571968,Errachidia,Meknès - Tafilalet
MAARAKATE BOUDNIB,معركة بودنيب,CENTRE BOUDNIB,مركز بودنيب,0535780122,Errachidia,Meknès - Tafilalet
IBN TAHIR,ابن طاهر,CITE BOUTALAMINE ERRACHIDIA,بوتالمين الرشيدية,0535572451,Errachidia,Meknès - Tafilalet
AMIR MOULAY ABDALLAH,"الامير م,عبد الله",CITE ELMATAR ERRACHIDIA,حي المطار الرشيدية,035572864,Errachidia,Meknès - Tafilalet
CHAHID MY TAYEB BEN MY LAKBIR,الشهيد مولاي الطيب بن مولاي لكبير ,CENTRE JORF ERFOUD,مركز الجرف,0661911397,Errachidia,Meknès - Tafilalet
HASSAN II RISSANI,الحسن 2 الريصاني,CENTRE RISSANI,مركز الريصاني,0535575149,Errachidia,Meknès - Tafilalet
MOHAMED V,محمد الخامس,AVENUE HASSAN 2 GOULMIMA,شارع الحسن2 كلميمة,0535783518,Errachidia,Meknès - Tafilalet
HASSAN II TINJDAD,الحسن الثاني تنجداد,CENTRE TINJDAD ,مركز تنجداد,0535786156,Errachidia,Meknès - Tafilalet
HASSAN I AOUFOUS,الحسن الاول اوفوس,CENTRE AOUFOUS,مركز اوفوس,035577835,Errachidia,Meknès - Tafilalet
SIJILMASSA,سجلماسة,AVENUE MOULAY ALI CHRIF ERRACHIDIA,"شارع م,علي الشريف الرشيدية",035572499,Errachidia,Meknès - Tafilalet
MOULAY RACHID,مولاي رشيد,CITE ESSALAM ERFOUD,حي السلام ارفود,0535576798,Errachidia,Meknès - Tafilalet
AHMAD OU BAHADDOU,حماد او باحدو,MALLAAB,ملعب,0661911388,Errachidia,Meknès - Tafilalet
zaid ouskounti,زايد اسكنتي,TADIGHOUST,تاديغوست,0661911394,Errachidia,Meknès - Tafilalet
nouveau lycee erfoud,الثانوية التأهيلية الجديدة أرفود ,ERFOUD,ارفود,,Errachidia,Meknès - Tafilalet
NOUVEAU LYCEE QUALIFIANT,الثانوية الجديدة التأهيلية,HAY AL KODS     ERRACHIDIA,             حي القدس         الرشيدية,,Errachidia,Meknès - Tafilalet
el khawarizmi,الثانوية التاهيلية الخوارزمي,centre had dra,مركز جماعة أحد الدرى,,Essaouira,Marrakech - Tensift - Al Haouz
ARGANE,أركان,CENTRE TAMANAR,مركز تمنار,0661067096,Essaouira,Marrakech - Tensift - Al Haouz
LYCEE ALMAJD,الثانوية التاهيلية المجد,CENTRE SMIMOU,مركز سميمو,0654827109,Essaouira,Marrakech - Tensift - Al Haouz
LYCEE AL AMAL,الثانوية التأهيلية الأمل,TAFTACHT,تافتاشت,,Essaouira,Marrakech - Tensift - Al Haouz
NAwRAs MoGADOR   ,نورس موكادور      ,avenu haj mohamed barzi LOTISSEMENT tafoukt, شارع الحاج محمد بارزي تجزئة تفوكت ,0673626795,Essaouira,Marrakech - Tensift - Al Haouz
TALMEST,تالمست,CENTRE TALMEST,مركز تالمست,0661064271,Essaouira,Marrakech - Tensift - Al Haouz
MOHAMED V,محمد الخامس,BOULEVARD ELFATH ESSAOUIRA,شارع العقبة,0661-068-301,Essaouira,Marrakech - Tensift - Al Haouz
AKENSOUS,أكنسوس,BOULEVARD ELAKOUASS ESSAOUIRA,شارع الأقواس,0661067546,Essaouira,Marrakech - Tensift - Al Haouz
PRINCE MOULAY RACHID,الأمير مولاي رشيد,CENTRE ELHANCHAN,مركز الحنشان,0661064289,Essaouira,Marrakech - Tensift - Al Haouz
SIDI MOHAMMED BNOU ABDELLAH,الثانويةالتأهيلية سيدي محمد بن عبدالله,LOTISSEMENT ELBORJ ESSAOUIRA,حي البرج 1 الصويرة,061067410,Essaouira,Marrakech - Tensift - Al Haouz
prince  MOULAY RaCHID,الأمير مولاي رشيد,avenue des far,شارع الجيش الملكي,0528899180,Es-smara,Guelmim - Es-smara
ouadi SAKIA AL HAMRA,وادي الساقية الحمراء,AL HAY AL IDARI COMMUNE ESSEMARA,الحي الإداري,0528-89-91-76,Es-smara,Guelmim - Es-smara
ANASS BEN MALEK,انس بن مالك,hay essalam 04,حي السلام 04,0661462201,Es-smara,Guelmim - Es-smara
