NOM_ETABLISSENTFR,NOM_ETABLISSENTAR,ADRESSEFR,ADRESSEAR,TELEPHONE,PROVINCE,REGION
OULAD MAZZOUG CENTRALE,اولاد مزوك المركزية,DOUAR OULAD MAZZOUG C.R OULAD HASSOUNE PR MKECH,دوار اولاد مزوك جماعة اولاد حسون,-  -  -,Marrakech,Marrakech - Tensift - Al Haouz
ANNAHDA,النهضة,HAY ANNAHDA  MUNICIPALITE CHICHAOUA,حي النهضة، بلدية شيشاوة,0673086908,Chichaoua,Marrakech - Tensift - Al Haouz
LAMZOUDIA,لمزوضية,CITE ASMAR COMMUNE LAMZOUDIA,حي اسمار ج لمزوضية,0673086924,Chichaoua,Marrakech - Tensift - Al Haouz
SIDI L MOKHTAR,سيدي المختار,CENTRE SID L MOKHTAR COMMUNE SID L MOKHTAR,مركز سيدي المختار  ج  سيدي المختار,0673088604,Chichaoua,Marrakech - Tensift - Al Haouz
AL ATIR,الاثير,CENTRE SID L MOKHTAR COMMUNE SID L MOKHTAR,مركز سيدي المختار  ج سيدي المختار,  0673088605,Chichaoua,Marrakech - Tensift - Al Haouz
IMAME EDDINE,إمام الدين,CITE ADMINISTRATIVE MUNICIPALITE IMINTANOUTE,الحي الإداري  امينتانوت,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
ALLAL BEN ABDELLAH,علال بن عبد الله,QUTAZROUTE  MUNICIPALITE IMINTANOUTE,حي تازروت  بلدية امينتانوت,0673086913,Chichaoua,Marrakech - Tensift - Al Haouz
IBN ALMOKAFFAA,ابن المقفع,MUNICIPALITE IMNTANOUTE,بلدية امينتانوت, 0661056085,Chichaoua,Marrakech - Tensift - Al Haouz
AIT HADI,أيت هادي,DOUAR DAR HMAD COMMUNE AIT HADI,دار احماد,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
NZALA,النزالة,DOUAR NZALA COMMUNE AIT HADI,دوار النزالة,0673 086919,Chichaoua,Marrakech - Tensift - Al Haouz
SIDI BOUZID,سيدي بوزيد,DOUAR SIDI BOUZID COMMUNE SIDI BOUZID,دوار سيدي بوزيد,0673086921,Chichaoua,Marrakech - Tensift - Al Haouz
NOUACER,النواصر,DOUAR NOUACER COMMUNE SIDI BOUZID,دوار النواصر,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
AZZAITOUNE,الزيتون,DOUAR LAKHRIBAT COMMUNE SIDI BOUZID,دوار لخريبات,0673086923,Chichaoua,Marrakech - Tensift - Al Haouz
LOUCHAOUCHA,لوشاوشا,DOUAR LOUCHAOUCHA MUN CHICHAOUA,دوار  لوشاوشا بلدية شيشاوة,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
ESSAADIYNE,السعديين,DOUAR HIDAT ALGHABA COMMUNE LAMZOUDIA,حيدات الغابة,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
JAARNA,الجعارنة,DOUAR JAARNA COMMUNE LAMZOUDIA,دوار  الجعارنة,0673086931,Chichaoua,Marrakech - Tensift - Al Haouz
AL AMAL,الأمل,DOUAR LAKNASSIS COMMUNE LAMZOUDIA,دوار  لكناسيس,0673086926,Chichaoua,Marrakech - Tensift - Al Haouz
SIDI AAMARA,سيدي اعمارة,DOUAR SIDI AAMARA COMMUNE LAMZOUDIA,دوار سيدي اعمارة,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
OUED TENSIFT,واد تانسيفت,DOUAR MOUSSA LAAKARTA COMMUNE LAMZOUDIA,دوار  موسى لعكارطة,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
BEL LAHOUAL,بلحول,DOUAR BEL LAHOUAL COMMUNE LAMZOUDIA,دوار بلحول,0673086928,Chichaoua,Marrakech - Tensift - Al Haouz
RHILAT,الرحيلات,DOUAR RHILAT COMMUNE LAMZOUDIA,دوار الرحيلات,0673087487  ,Chichaoua,Marrakech - Tensift - Al Haouz
LABRAJ,لبراج,DOUAR LABRAJ COMMUNE LAMZOUDIA,دوار لبراج,0673086929,Chichaoua,Marrakech - Tensift - Al Haouz
OULED BIBOU,اولاد بيبو,DOUAR OULED BIBOU COMMUNE LAMZOUDIA,دوار  اولاد بيبو,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
ZAOUIAT,الزاوية,DOUAR ZAOUIAT AHDIL.COM AHDIL,دوار الزاوية,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
AHDIL,اهديل,DOUAR LAABABRA COMMUNE AHDIL,دوار لعبابرة,0673087516,Chichaoua,Marrakech - Tensift - Al Haouz
LHOUGGAT,الحكات,DOUAR LHOUGGAT COMMUNE AHDIL,دوار  الحكات,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
LAHCINAT,لحسينات,DOUAR LAHCINAT COMMUNE AHDIL,دوار لحسينات,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
LAADILAT,لعضيلات,DOUAR LAADILAT COMMUNE AHDIL,دوار  لعضيلات,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
OULAD MOUMNA,اولاد مومنة,DOUAR OULAD MOUMNA COMMUNE OULAD MOUMNA,دوار أولاد مـومـنـة جـماعة أولاد مــومـنـة,0673087704,Chichaoua,Marrakech - Tensift - Al Haouz
AMSKSLANE SOUFLA,أمسكسلان السفلى,DOUAR AMSKSLANE SOUFLA COMMUNE OULAD MOUMNA,دوار أمسكسلان السفلى,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
OULAD LHADJ,اولاد الحاج,DOUAR OULAD LHADJ COMMUNE OULAD MOUMNA,دوار اولاد الحاج,0654829003,Chichaoua,Marrakech - Tensift - Al Haouz
DMISSAT, الدميسات,DOUAR DMISSAT COMMUNE OULAD MOUMNA,دوار الدميسات,0673-08-77-14,Chichaoua,Marrakech - Tensift - Al Haouz
OULAD ABDELLAH MBAREK,اولاد عبد الله مبارك,DOUAR ABDELLAH MBAREK COMMUNE OULAD MOUMNA,دوار اولاد عبد الله مبارك,- O673O87713,Chichaoua,Marrakech - Tensift - Al Haouz
ASSAFIA,الصفية,DOUAR ASSAFIA COMMUNE OULAD MOUMNA,دوار  الصفية,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
TOUIJRAT,التويجرات,DOUAR TOUIJRAT COMMUNE SID L'MOKHTAR,دوار التويجرات,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
LAGOUAYAT,لكوايات,DOUAR LAGOUAYAT COMMUNE SID L'MOKHTAR,دوار لكوايات,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
DOUAR HMER,دوار  احمر,DOUAR HMER COMMUNE SID L'MOKHTAR,دوار  احمر   مركز  سيدي المختار,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
OULAD AZZOUZ,اولاد عزوز,DOUAR OULAD AZZOUZ COMMUNE SID LMOKHTAR,دوار اولاد عزوز,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
OULAD DRIS,اولاد ادريس,DOUAR OULAD DRIS COMMUNE SID L MOKHTAR,دوار  اولاد ادريس,0673087796,Chichaoua,Marrakech - Tensift - Al Haouz
LKHOURCHI,الخرشي,DOUAR LKHOURCHI COMMUNE SIDI M'HAMED DALIL,دوار الخرشي,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
AHL LAHRIMA,اهل لحريمة,DOUAR AHL LAHRIMA  COMMUNE SIDI MOHAMED DALIL,دوار اهل لحريمة,0673087807,Chichaoua,Marrakech - Tensift - Al Haouz
BOUAANGA,بوعنكة,DOUAR BOUAANGA COMMUNE SIDI MHAMED DALIL,دوار  بوعنكة,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
SAIDATE,السعيدات,DOUAR SAIDATE COMMUNE SAIDATE,دوار السعيدات,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
LAGHSASLA,لغساسلة,DOUAR LAGHSASLA COMMUNE SAIDATE,  جماعة السعيدات دوار لغساسلة,  0673087813,Chichaoua,Marrakech - Tensift - Al Haouz
OUARMES,وارمس,DOUAR OUARMES COMMUNE SAIDATE1610309,دوار  وارمس,073087811,Chichaoua,Marrakech - Tensift - Al Haouz
ATTARMIDI,الترميدي,DOUAR LAKHRIRBA COMMUNE SAIDATE,دوار لخريريبة,0673087819,Chichaoua,Marrakech - Tensift - Al Haouz
TAGADIRT,تكديرت,MUNICIPALITE IMINTANOUT,بلدية  امينتانوت,0667845904,Chichaoua,Marrakech - Tensift - Al Haouz
JDIDA,اجديدة,DOUAR JDIDA COMMUNE NFIFA,دوار  اجديدة  انفيفة,0673087821,Chichaoua,Marrakech - Tensift - Al Haouz
HSAINE,احصاين,DOUAR ARATAL COMMUNE NFIFA,دوار  ارطال جماعة انفيفة      ,0673087823,Chichaoua,Marrakech - Tensift - Al Haouz
IMINE LAAINE,امين العين,DOUAR IMINE LAAINE COMMUNE OUAD L'BOUR,دوار امين العين,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
TIBET,تبت,DOUAR TIBET COMMUNE OUAD L BOUR,دوار تبت جماعة واد البور قيادة انفيفة امنتانوث,0673088241,Chichaoua,Marrakech - Tensift - Al Haouz
IMIZEN,اميزن,DOUAR IMIZEN ,دوار اميزن,0673088242,Chichaoua,Marrakech - Tensift - Al Haouz
TALMEST,تالمست,DOUAR TALMEST COMMUNE OUAD L BOUR,دوار تالمست,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
IMINE IGHEZ,امين آغز,DOUAR IMINE IGHEZ COMMUNE OUAD L'BOUR,دوار امين آغز,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
TAMAROUT,تماروت,DOUAR TAMAROUT COMMUNE IROHALEN,دوار تماروت,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
ROUHALA,روهالة,DOUAR ROUHALA COMMUNE IROHALEN,دوار روهالة,0673088249,Chichaoua,Marrakech - Tensift - Al Haouz
AMEZNASSE,امزناس,DOUAR AMEZNASSEN COMMUNE IROHALEN,دوار امزناس,0654828996,Chichaoua,Marrakech - Tensift - Al Haouz
AIT BKHAIR,أيت بخاير,DOUAR AKHFERGA COMMUNE AFALLAISSEN,دوار أيت بخاير,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
BOUIZGHRANE,بويزغران,DOUAR BOUIZGHRANE COMMUNE AFALLA-ISSEN,دوار  بويزغران,-0673088281-,Chichaoua,Marrakech - Tensift - Al Haouz
TISGHITE,تسغيت,DOUAR IGRED COMMUNE AFALLAISSEN,دوار  تسغيت,0673088298,Chichaoua,Marrakech - Tensift - Al Haouz
AIT ALLA,أيت علا,DOUAR AIT ALLA COMMUNE AFALLAISSEN,دوار أيت علا,0673088303,Chichaoua,Marrakech - Tensift - Al Haouz
TIMEZGADIOUINE,تمزكدوين,DOUAR TIMEZGADIOUINE COMMUNE TIMEZGADIOUINE,دوار تمزكدوين,073-08-83-07,Chichaoua,Marrakech - Tensift - Al Haouz
AIT OUAARAB,أيت واعراب,DOUAR AIT OUAARAB COMMUNE TIMEZGADIOUINE,دوار أيت واعراب,0673088316 ,Chichaoua,Marrakech - Tensift - Al Haouz
AIT KHATTAB,ايت خطاب,DOUAR AIT KHATTAB COMMUNE TIMEZGADIOUINE,دوار  ايت خطاب  جماعة تمزكدوين قيادة دمسيرة,0673088315,Chichaoua,Marrakech - Tensift - Al Haouz
IRGHI,إرغي,DOUAR IRGHI COMMUNE TIMEZGADIOUINE,دوار  إرغي,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
AIT CHAAIB,ايت  شعيب,DOUAR AMSLANE COMMUNE TIMEZGADIOUINE,دوار امسلان جماعة تمزكدوين ,073088313,Chichaoua,Marrakech - Tensift - Al Haouz
IMLALEN,إملالن,DOUAR IMLALEN COMMUNE TIMEZGADIOUINE,دوار إملالن,0673088341,Chichaoua,Marrakech - Tensift - Al Haouz
BOULAAOUANE,بولعوان,DOUAR BOULAAOUANE COMMUNE SIDI GHANEM,دوار بولعوان,0673088345,Chichaoua,Marrakech - Tensift - Al Haouz
TOUZOMTANE,تزومطان,DOUAR TOUZAMTANE COMMUNE SIDI GHANEM,دوار  تزومطان,0673088352,Chichaoua,Marrakech - Tensift - Al Haouz
AIT LAHCEN,ايت لحسن,DOUAR AIT LAHCEN COMMUNE SIDI GHANEM,دوار  ايت لحسن,0673088349,Chichaoua,Marrakech - Tensift - Al Haouz
IMASSINE,اماسين,DOUAR IMASSINE COMMUNE SIDI GHANEM,دوار اماسين,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
AIT HADDOU YOUSSEF,ايت حدو يوسف,DOUAR AHADDOU YOUSSEF COMMUNE AIT HADDOU YOUSSEF,دوار ايت حدو يوسف,0673088357,Chichaoua,Marrakech - Tensift - Al Haouz
TASSA,تاسا,DOUAR TASSA COMMUNE AIT HADDOU YOUSSEF,دوار  تاسا,-  -  ,Chichaoua,Marrakech - Tensift - Al Haouz
ASSIF LAHLOU,أسيف لحلو,DOUAR ASSIF LAHLOU COMMUNE AIT HADDOU YOUSSEF,دوار  أسيف لحلو,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
ZAOUIAT ITIKI,زاوية اتيقي,DOUAR ZAOUIAT ITIKI COMMUNE AIT HADDOU YOUSSEF,دوار  زاوية اتيقي,0673088359,Chichaoua,Marrakech - Tensift - Al Haouz
AIT MOUSSA,أيت موسى,DOUAR AIT MOUSSA COMMUNE LALLA AAZIZA,دوار أيت موسى,0673088364,Chichaoua,Marrakech - Tensift - Al Haouz
TAMZGOURTE,تمزكورت,DOUAR TAMZGOURT COMMUNE LALLA AAZIZA,دوار  تمزكورت,0673088372,Chichaoua,Marrakech - Tensift - Al Haouz
AIT MHANED,ايت  محند,DOUAR AIT MHANED COMMUNE LALLA AAZIZA,دوار ايت محند للا عزيزة,0673088371,Chichaoua,Marrakech - Tensift - Al Haouz
ANZAMER,أنزمر,DOUAR ANZAMER COMMUNE AMDLANE,دوار أنزمر,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
TAGNGUEMTE,تكنكمت,DOUAR TAGNGUEMTE COM AMDLANE,دوار  تكنكمت,0673088392,Chichaoua,Marrakech - Tensift - Al Haouz
TIKHRIBINE,تخربين,DOUAR TIKHRIBINE COMMUNE RAHHALA,دوار  تخربين,0673088396,Chichaoua,Marrakech - Tensift - Al Haouz
BOUHMISSA,بوحميسة,DOUAR BOUHMISSA COMMUNE RAHHALA,دوار  بوحميسة,073 088 397,Chichaoua,Marrakech - Tensift - Al Haouz
TIRKHAT,ترخات,DOUAR TIRKHAT COMMUNE RAHHALA,دوار  ترخات,0673088401,Chichaoua,Marrakech - Tensift - Al Haouz
BOUABOUT,بوابوض,DOUAR BOUABOUT COMMUNE BOUABOUT,دوار  بوابوض,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
ADDAR-BOUABOUT,أدار-بوابوض,DOUAR ADDAR COMMUNE BOUABOUT,دوار  أدار-بوابوض,- -  -,Chichaoua,Marrakech - Tensift - Al Haouz
TAGMMOUT,تكموت,DOUAR TAGMMOUT COMMUNE BOUABOUT,دوار  تكموت,0673088407,Chichaoua,Marrakech - Tensift - Al Haouz
TINELLEFT,تنلفت,DOUAR TINELLEFT COMMUNE BOUABOUT,دوار  تنلفت,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
ANZIG,انزيك,DOUAR ANZIG COMMUNE BOUABOUT,دوار انزيك,0654829009,Chichaoua,Marrakech - Tensift - Al Haouz
AFETTAS,أفتاس,DOUAR AFETTAS COMMUNE BOUABOUT,دوار أفتاس,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
ALATAS,ألتاس,DOUAR ALATAS COMMUNE TIMLILT,دوار  ألتاس,0673088428,Chichaoua,Marrakech - Tensift - Al Haouz
ADDHER,الظهر,DOUAR ADDHER COMMUNE KOUZEMT,دوار  الظهر,0673088419,Chichaoua,Marrakech - Tensift - Al Haouz
TAZEDRA,تزدرة,DOUAR TAZEDRA  COMMUNE TIMLILT,دوار  تزدرة,0673088429,Chichaoua,Marrakech - Tensift - Al Haouz
AMKEDRANE,أمكضران,DOUAR AMKEDRANE COMMUNE TIMLILT,دوار  أمكضران,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
TAOURA,تاورة,DOUAR TAOURA COMMUNE ICHAMRAREN,دوار تاورة,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
TISKERT,تسكرت,DOUAR TISKERT COMMUNE ICHAMRAREN,دوار  تسكرت,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
TLAT ICHAMRAREN,ثلاث اشمرارن,DOUAR TLAT ICHAMRAREN COMMUNE ICHAMRAREN,دوار  ثلاث اشمرار, -0673088436,Chichaoua,Marrakech - Tensift - Al Haouz
RBAT,الرباط,DOUAR RBAT IDA OUMRZOUG COMMUNE ICHAMRAREN,دوار رباط إدا ومرزوك,0673088437,Chichaoua,Marrakech - Tensift - Al Haouz
SIDI ABDELMOUMEN,سيدي عبد المومن,CENTRE COMMUNE  SIDI ABDELMOUMEN,مركز  جماعة  سيدي عبد المومن, 0673088442,Chichaoua,Marrakech - Tensift - Al Haouz
ZAHRA BENT AMMAR,زهرة بنت عمر,DOUAR ZAHRA BENT AMMAR COMMUNE SIDI ABDELMOUMEN,دوار زهرة بنت عمر,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
IGUI OUSSILILe,إكي  وسوليل,DOUAR IGUI OUSSOULINESIDI ABDELMOUMEN,دوار  إكي  وسولين,0654829002,Chichaoua,Marrakech - Tensift - Al Haouz
AIT SMAIL,أيت اسماعيل,DOUAR AIT SMAIL COMMUNE SIDI ABDELMOUMEN,دوار  أيت اسماعيل,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
TARSELT,تارسلت,DOUAR TARSELT COMMUNE SIDI ABDELMOUMEN,دوار  تارسلت, -  -,Chichaoua,Marrakech - Tensift - Al Haouz
TAOULOUKOULT,تولوكولت,CENTRE  TAOULOUKOULT COMMUNE TAOULOUKOULT,مركز جماعة تولوكولت,0673088447-,Chichaoua,Marrakech - Tensift - Al Haouz
BOUAMSA,بوامسا,DOUAR BOUAMSA COMMUNE TAOULOUKOULT,دوار بوامسا,0673090053,Chichaoua,Marrakech - Tensift - Al Haouz
AGNI,أكني,DOUAR AGNI COMMUNE TAOULOUKOULT,دوار  أكني,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
AGNI AHNDIR,أكني أحندير,DOUAR AGNI AHNDIR COMMUNE TAOULOUKOULT,دوار أكني أحندير,073088451,Chichaoua,Marrakech - Tensift - Al Haouz
GMASSA,كماسة,DOUAR GMASSA COMMUNE GMASSA,دوار كماسة,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
AIT ABEDELLAH,ايت عبد الله,DOUAR AIT ABEDELLAH COMMUNE GUEMASSA,دوار ايت عبد الله,0673088461,Chichaoua,Marrakech - Tensift - Al Haouz
DAR AHMED SALEM,أحمد سالم,DOUAR DAR AHMED SALEM COMMUNE GUEMASSA,دوار احمد سالم جماعة كماسة,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
TAOUILOULT,تاويلولت,DOUAR TAOULOULT COMMUNE GMASSA,دوار تاويلولت,0000000000,Chichaoua,Marrakech - Tensift - Al Haouz
TALAMENZOU,تلامنزو,DOUAR TALAMENZOU COMMUNE GMASSA,دوار  تلامنزو,073088456,Chichaoua,Marrakech - Tensift - Al Haouz
LAMREMDA,لمرمضة,DOUAR LAMREMDA COMMUNE GMASSA,دوار  لمرمضة,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
AL MOUAHHIDINE,الموحدين,CENTRE COMMUNE MAJJAT,مركز جماعة مجاط,0673088463,Chichaoua,Marrakech - Tensift - Al Haouz
LAHRARCHA,لحرارشة,DOUAR LAHRARCHA COMMUNE MAJJAT,دوار لحرارشة,0673088476,Chichaoua,Marrakech - Tensift - Al Haouz
BEN DOUKKALI,بن الدكالي,DOUAR BEN DOUKKALI COMMUNE MAJJAT,دوار بن الدكالي,0673088474,Chichaoua,Marrakech - Tensift - Al Haouz
LARAOUIYNE,لارويين,DOUAR LARAOUIYNE COMMUNE MAJJAT,دوار لارويين,073088464,Chichaoua,Marrakech - Tensift - Al Haouz
FILALA,فيلالة,DOUAR FILALA COMMUNE MAJJAT,دوار فيلالة,0654828995,Chichaoua,Marrakech - Tensift - Al Haouz
ZKARA LIBL,زكارة ليبل,DOUAR ZKARA LIBL COMMUNE MAJJAT,دوار  زكارة ليبل,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
LAMAAISRA,لمعيصرة,DOUAR LAMAAISRA COMMUNE MAJJAT,دوار لمعيصرة,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
DOUIRANE, ادويران,CENTRE DOUIRANE  COM DOUIRANE,بوزضوض  ادويران,073088477,Chichaoua,Marrakech - Tensift - Al Haouz
AGADIR OUMNSOUR,أكدير  أومنصور,DOUAR AGADIR OUMNSOUR COMMUNE DOUIRANE,دوار  أكدير  أومنصور,0673088526,Chichaoua,Marrakech - Tensift - Al Haouz
ZNADA,ازنادة,DOUAR ZNADA COMMUNE DOUIRANE,دوار ازنادة جماعة ادويران,073088479,Chichaoua,Marrakech - Tensift - Al Haouz
LAMHEDJAT,لمحدجات,DOUAR LAMHEDJAT COMMUNE DOUIRANE,دوار لمحدجات,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
IDDAZEN,إدازن,DOUAR IDDAZEN COMMUNE DOUIRANE,دوار  إدازن,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
KOUZEMT,كوزمت,DOUAR KOUZEMT COMMUNE KOUZEMT,دوار  كوزمت,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
L BORJ,البرج,DOUAR LBORJ COMMUNE ZAOUIA ANNAHLIA,دوار البرج,0673088532,Chichaoua,Marrakech - Tensift - Al Haouz
AGDAL,أكدال,DOUAR AGDAL COMMUNE ZAOUIA ANNAHLIA,دوار أكدال,0673088559,Chichaoua,Marrakech - Tensift - Al Haouz
IGHZER IZGHAREN,اغزر ازكارن,DOUAR IGHZER IZGHAREN COMMUNE mzouda,دوار اغزر ازكارن,0673088552,Chichaoua,Marrakech - Tensift - Al Haouz
ZAOUIA NAHLIA,الزاوية النحلية,DOUAR ZAOUIA ANNAHLIA COMMUNE mzoda,دوار  الزاوية النحلية,à  -,Chichaoua,Marrakech - Tensift - Al Haouz
SEBT MZOUDA,سبت امزوضة,centre SEBT MZOUDA COMMUNE MZOUDA,مركز سبت امزوضة,0673088561,Chichaoua,Marrakech - Tensift - Al Haouz
BOUZOUGA,بوزوكة,DOUAR BOUZOUGA COMMUNE MZOUDA,دوار بوزوكة,0673088565,Chichaoua,Marrakech - Tensift - Al Haouz
ANDOURAR,أندورار,DOUAR ANDOURAR COMMUNE M ZOUDA,دوار  أندورار,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
ZAOUIAT AFENSA,زاوية  أفنسا,DOUAR ZAOUIAT AFENSA COMMUNE M ZOUDA,دوار زاوية  أفنسا,  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
ALHAMRI,الحمري,DOUAR ALHAMRI COMMUNE M'ZOUDA,دوار الحمري,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
AIT HSAINE,ايت احساين,DOUAR AIT HSAINE COMMUNE M ZOUDA,دوار ايت احساين,0673088564,Chichaoua,Marrakech - Tensift - Al Haouz
ASSIF EL MAL,أسيف المال,DOUAR ASSIF EL MAL COMMUNE ASSIF EL MAL,دوار أسيف المال,0673088571,Chichaoua,Marrakech - Tensift - Al Haouz
IMINE OUASSIF,إمين  واسيف,DOUAR IMINE OUASSIF COMMUNE ASSIF EL MAL,دوار إمين  واسيف جماعة أسيف المال,0673088576,Chichaoua,Marrakech - Tensift - Al Haouz
DAR AKIMAKH,دار أكيماخ,DOUAR DAR AKIMAKH COMMUNE ASSIF EL MAL,دوار دار أكيماخ,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
ADASSIL,أداسيل,DOUAR ADASSIL COMMUNE ADASSIL,دوار أداسيل جماعة اداسيل دائرة مجاط ,0673088578,Chichaoua,Marrakech - Tensift - Al Haouz
TIGMMAT,تكماط,DOUAR TIGMMAT COMMUNE IMINDOUNIT,دوار  تكماط,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
TANAMERT,تنامرت,DOUAR TANAMERT COMMUNE IMINDOUNIT,دوار تنامرت,0673088603,Chichaoua,Marrakech - Tensift - Al Haouz
TIZGUI,تزكي,DOUAR TIZGUI COMMUNE IMINDOUNIT,دوار  تزكي,0673088598,Chichaoua,Marrakech - Tensift - Al Haouz
TAOUNGHASTE,تونغاست,DOUAR TAOUNGHASTE COMMUNE IMINDOUNIT,دوار  تونغاست,073-08-85-87,Chichaoua,Marrakech - Tensift - Al Haouz
IGHERMANE,إغرمان,DOUAR IGHERMANE COMMUNE ADASSIL,دوار إغرمان,073088583,Chichaoua,Marrakech - Tensift - Al Haouz
ASSAIS,أسايس,DOUAR ASSAIS COMMUNE ADASSIL,دوار  أسايس,0673088584,Chichaoua,Marrakech - Tensift - Al Haouz
AL BOUSSAIRI,البوصيري,CITE AL QODS  MUNICIPALITE CHICHAOUA,حي القدس  بلدية شيشاوة,-  -  -,Chichaoua,Marrakech - Tensift - Al Haouz
AZZAHRAE,الزهراء,hay EL mohammadi MUNICIPALITE CHICHAOUA,الحي المحمدي  بلدية شيشاوة,0673086911,Chichaoua,Marrakech - Tensift - Al Haouz
BEL MOKADDAM,بلمقدم,"ZAOUIAT BELMKADDAM, MUNICIPALITE CHICHAOUA",زاوية بلمقدم،  بلدية شيشاوة,073086909,Chichaoua,Marrakech - Tensift - Al Haouz
AHMED BOUKMAKHE,احمد بوكماخ,CITE AL FARAH  MUNICIPALITE CHICHAOUA,حي الفرح  بلدية شيشاوة,0654828045,Chichaoua,Marrakech - Tensift - Al Haouz
AGADIR ELGHACHI2,أكادير الغاشي 2,DOUAR AGADIR ELGHACHI COMMUNE ICHAMRAREN,دوار  أكادير الغاشي 2,0673088439,Chichaoua,Marrakech - Tensift - Al Haouz
ANNOUBOUGHE,النبوغ,DOUAR IRIQ OULOUI COMMUNE ZAOUIA ANNAHLIA,دوار  إريق العلوي,0673088554,Chichaoua,Marrakech - Tensift - Al Haouz
HASSAN ES SAGHIR,حسن الصغير,CENTRE AIT OURIR MUNICIPALITE AIT OURIR,مركز ايت اورير,0661902504,Al Haouz,Marrakech - Tensift - Al Haouz
IGOUDAR,ايكودار,QUARTIER IGOUDAR MUNICIPALITE AIT OURIR,حي ايكودار بلدية ايت اورير,061-90-25-06,Al Haouz,Marrakech - Tensift - Al Haouz
ER RIAD,الرياض,RIAD MUNICIPALITE AIT OURIR,الرياض ايت اورير,061-90-25-09,Al Haouz,Marrakech - Tensift - Al Haouz
ECHAHID MOHAMED ZERKTOUNI,الشهيد محمد الزرقطوني,QUARTIER MOUAZAREN  MUNICIPALITE AIT OURIR,حي اموزارن بلدية ايت اورير,0661908407,Al Haouz,Marrakech - Tensift - Al Haouz
MARIA eL  KEBTIA,مارية القبطية,CITE AMADEL COMMUNE AMIZMIZ,حي امدل جماعة امزميز,0661-48-85-82,Al Haouz,Marrakech - Tensift - Al Haouz
IBNOU AL OUNNANE,ابن الونان,BOULEVARD MOHAMED V ASSGOUN COMMUNE AMIZMIZ,شارع محمد الخامس جماعة امزميز,061-48-85-90,Al Haouz,Marrakech - Tensift - Al Haouz
AL ATLASS,الاطلس,CENTRE AMEZMIZ COMMUNE AMIZMIZ,مركز امزميز جماعة امزميز,0661488589,Al Haouz,Marrakech - Tensift - Al Haouz
