Nom Etablissement,Adresse,Ville,Téléphone,FAX,EMAIL,Nature,Cycle d'enseignement,Région,Province,Commune
Ecole mère YAHIA ALGOUDALI,TARFAYA CENTRE,TARFAYA,0528-89-50-72,528865072,yahya.godalli@hotmail.fr,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Laayoune- Boujdour - Sakia AlHamra,Tarfaya,Tarfaya (M)
Ecole  mère  ALWAHDA,Commune DAWRA,laayoune,528891639,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Laayoune- Boujdour - Sakia AlHamra,Tarfaya,Daoura
Ecole mère FOUM ELWAD ALKARIA,Commune FOUM ELWAD ALKARIA,FOUM ELWAD Al Karia,-  -  -,-  -  -,NULL,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Foum El Oued
lycee collegial TARIK IBN ZIAD,RUE OUED EDDAHAB HAY ELFARAH,Laayoune,661900314,-  -  -,,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
lycee collegeal ALLAL BEN ABDELLAH,Avenue Zerktouni hay My Rachid Laayoune,Laayoune,0528-89-25-62,-  -  -,Arefallal@Gmail.com,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
lycee collegial TAAOUNE,HAY ATTAAOUNE,Laayoune,528892122,-  -  -,,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
lycee collegial ibnou khaldoune,AVENUE MEZOUARHAY ALOUAHDA I,Laayoune,28892263,-  -  -,,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
lycee collegial quadi  aayad,AVENUE MOULAY ISMAIL,Laayoune,61900321,528892825,qadiayad@menara.ma,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
LYCEE COLLEGIAL HASSAN 1ER,HAY EL HAJARI AVENUE DRISS 1IER PLACE ELHOUDA,Laayoune,28892278,28892278,,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
lycee qualifiant HAY AL QASSAME,HAY ALQASSAMEAVENUE BEN CHEIKH MAALAANINE,Laayoune,028-89-13-50,-  -  -,,Lycée qualifiant enseignement général                                 ,Etablissement de l'Enseignement Qualifiant,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
LYCEE COLLEGIAL ANNAHDA,HAY MOULAY RACHID,Laayoune,61900329,-  -  -,bassou.omohe@hotmail.com,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
LYCEE QUALIFIANT ATTANMIA,HAY ALMASSIRAAVENUE ABOU BAKR SEDDIK,Laayoune,661900332,-  -  -,laroussihafid@yahoo.fr,Lycée qualifiant enseignement général                                 ,Etablissement de l'Enseignement Qualifiant,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
lycee collegeal ALKHANSA,AVENUE ALHIZAME HAY ALHAJARI,Laayoune,661900349,-  -  -,saidkar1@yahoo.fr,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
lycee collegeal ECHATI,ALMARSA CENTRE,Laayoune,61900348,-  -  -,,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Laayoune- Boujdour - Sakia AlHamra,Laayoune,El Marsa (M)
lycee qualifiant HASSAN II,PLACE OUM SAAD BP402,Laayoune,661900375,528893994,,Lycée qualifiant enseignement général                                 ,Etablissement de l'Enseignement Qualifiant,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
lycee qualifiant MOHAMED V,AVENUE MOULAY ABDELLAH,Laayoune,028-89-51-00,-  -  -,,Lycée qualifiant enseignement général                                 ,Etablissement de l'Enseignement Qualifiant,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
lycee qualifiant LAMSALLA,AVENUE LAMSALLA HAY ALQODS,LAAYOUNE,028-99-51-01,-  -  -,,Lycée qualifiant enseignement général                                 ,Etablissement de l'Enseignement Qualifiant,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
lycee qualifiant LISSANE EDDINE IBN ALKHATIB,PLACE OUM SAADAVENUE HASSAN 1IER,Laayoune,028-89-23-38,-  -  -,,Lycée qualifiant enseignement général et technique                    ,Etablissement de l'Enseignement Qualifiant,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
lycee collegial JAMAL EDDINE AL AFGHANI,HAY ALMASSIRAAVENUE ABOU BAKR SEDDIK,Laayoune,028-89-29-49,-  -  -,,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
TARFAYA,TARFAYA CENTRE,Laayoune,028-89-52-35,28895235,lyceetarfaya@yahoo.fr,Lycée qualifiant enseignement général                                 ,Etablissement de l'Enseignement Qualifiant,Laayoune- Boujdour - Sakia AlHamra,Tarfaya,Tarfaya (M)
ECOLE  HASSAN II,CITE LALLA MERYEM COMMUNE BOUJDOUR,Boujdour,61900107,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Laayoune- Boujdour - Sakia AlHamra,Boujdour,Boujdour (M)
ECOLE  ALINBIAATE,Boulevard elmarhoum baby COMMUNE BOUJDOUR,Boujdour,661900284,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Laayoune- Boujdour - Sakia AlHamra,Boujdour,Boujdour (M)
ECOLE ELMASSIRA EL KHADRA,AV.  ELMARHOUM BABI  COMMUNE BOUJDOUR,Boujdour,028-89-61-01,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Laayoune- Boujdour - Sakia AlHamra,Boujdour,Boujdour (M)
Lycée AHMED BEN MOHAMED ERRACHDI,CITE ADMINISTRATIVE COMMUNE BOUJDOUR,Boujdour,61900387,528896371,lyceerachidi@gmail.com,Lycée qualifiant enseignement général                                 ,Etablissement de l'Enseignement Qualifiant,Laayoune- Boujdour - Sakia AlHamra,Boujdour,Boujdour (M)
MOHAMED V,32-rue mohamed hassan el ouazzani,MUNICIPALITE AL HOCEIMA,0539-98-25-48,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Al Hoceima
ALI BEN HASSOUN,AV 9JUILLET AL HOCEIMA,MUNICIPALITE AL HOCEIMA,039-98-23-65,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Al Hoceima
ABDELAZIZ EL OUARIAGHLI,RUE DAKHLA AL HOCEIMA,MUNICIPALITE AL HOCEIMA,039-98-27-64,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Al Hoceima
FATIMA ZOHRA,AV ESSAOUIRA AL HOCEIMA,MUNICIPALITE AL HOCEIMA,-  -  -,-  -  -,NULL,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Al Hoceima
AL HAY EL JADID,AV HASSAN II AL HOCEIMA,MUNICIPALITE AL HOCEIMA,-  -  -,-  -  -,NULL,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Al Hoceima
TIGHANIMINE,DOUAR TIGHANIMINE AL HOCEIMA,MUNICIPALITE AL HOCEIMA,-  -  -,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Al Hoceima
MASSIRAT FATH,AV ABBAS SAADI AL HOCEIMA,MUNICIPALITE AL HOCEIMA,539840268,-  -  -,massiratfath@live.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Al Hoceima
ABDELLAH BEN YASSINE,rue ouhrane HAY MARMOUCHA,AL HOCEIMA,539841204,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Al Hoceima
MOULAY RACHID,AV ALMAHBES AL HOCEIMA,MUNICIPALITE AL HOCEIMA,539841226,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Al Hoceima
ALLAL BEN ABDELLAH,PLACE MELILIA AL HOCEIMA,MUNICIPALITE AL HOCEIMA,539840036,,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Al Hoceima
TARIK BNOU ZIAD,RUE ZAIR AL HOCEIMA,MUNICIPALITE AL HOCEIMA,539840096,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Al Hoceima
CHATIE EL JAMIL,HAY CHATAIE ALJAMIL AL HOCEIMA,MUNICIPALITE AL HOCEIMA,660126341,-  -  -,ecochateljamil@gmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Al Hoceima
IBNOU EL KHATIB,HAY SIDI ABED AL HOCEIMA,MUNICIPALITE AL HOCEIMA,-  -  -,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Al Hoceima
HOMMAN EL FATOUAKI,HAY MIRADOR AL HOCEIMA,MUNICIPALITE AL HOCEIMA,539840694,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Al Hoceima
BNI BOUAYACH,QARTIER I BNI BOUAYACH,MUNICIPALITE BNI BOUAYACH,539804733,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Bni Bouayach
IBNOU KHALDOUN,BD mohammed 6 Beni bouayach Alhoceima,MUNICIPALITE BNI BOUAYACH,539804580,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Bni Bouayach
NEKKOUR,HAY BOUGHARMAN BNI BOUAYACH,MUNICIPALITE BNI BOUAYACH,539804579,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Bni Bouayach
IBOULAY,HAY IBOULAY BNI BOUAYACH,MUNICIPALITE BNI BOUAYACH,-  -  -,-  -  -,NULL,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Bni Bouayach
ABI TALEB,BOULEVARD CASA BLANCA IMZOUREN,MUNICIPALITE IMZOUREN,039-80-60-07,-  -  -,NULL,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Imzouren
IMZOUREN II,QARTIER II IMZOUREN,MUNICIPALITE IMZOUREN,5398054,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Imzouren
IBNOU ROCHD,QARTIER MILITAIRE IMZOUREN,MUNICIPALITE IMZOUREN,539805438,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Imzouren
mohamed ZERKTOUNI,QUARTIER IBOUJANE,MUNICIPALITE IMZOUREN,539805447,-  -  -,bisbis1@hotmail.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Imzouren
OUED EDDAHAB,HAY lycée,MUNICIPALITE IMZOUREN,539805451,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Imzouren
TARGUIST II,BD WALI ALAAHD TARGUIST,MUNICIPALITE TARGUIST,662833989,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Targuist
ABD LAKRIM KHATABI,rue  DES FAR BP 84  TARGUIST,MUNICIPALITE TARGUIST,539808955,-  -  -,Khattabi1985@Hotmail.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Targuist
DAR SALLOUM,DOUAR DHAR SALLOUM COMMUNE AIT YOUSSEF OU ALI,CERCLE BNI WARIAGHAL,39802774,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Ait Youssef Ou Ali
LAAZIB,HAY LAAZIB IMZOUREN,MUNICIPALITE IMZOUREN,539805436,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Imzouren
TORRES,DOUAR TORRES COMMUNE BNI BOUFRAH,CERCLE BNI BOUFRAH,039-81-30-02,-  -  -,NULL,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Bni Boufrah
AIT TAYEB,AIT TAYEB COMMUNE BNI BOUFRAH,AL HOCEIMA,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Bni Boufrah
AGNI,DOUAR AGNI COMMUNE BNI BOUFRAH,CERCLE BNI BOUFRAH,-  -  -,-  -  -,NULL,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Bni Boufrah
AL JAHED,rue 16 SIDI MOUMEN elkadim,CASABLANCA,-  -  -,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Grand Casablanca,Sidi Bernoussi,Sidi Moumen (AR)
SENADA,DOUAR SENADA COMMUNE SENADA,CERCLE BNI BOUFRAH - ALHOCEIMA,39843148,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Senada
EL MAARRY,CITE ES-SMARA ain sebaa,casablanca,522618862,-  -  -,almaarryecole@msn.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
IBNOU AL HAITAM,HAy ELKARYA SIDI MOUMEN JDID,CASABLANCA,661579870,-  -  -,ab.KHAMMAR@GMAIL.COM,Lycée qualifiant enseignement général                                 ,Etablissement de l'Enseignement Qualifiant,Grand Casablanca,Sidi Bernoussi,Sidi Moumen (AR)
ICHATOUANEN,DOUAR ICHATOUANEN CoMMUNE SENADA,CERCLE BNI BOUFRAH,539843147,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Senada
BNI CHBOUN,DOUAR BNI CHBOUN COMMUNE BNI GMIL MAKSOULINE,CERCLE BNI BOUFRAH,539843164,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Bni Gmil Maksouline
AL IMAM AL JAZOULI,HAY DOHA 1  AIN SEBAA,casablanca,675378539,-  -  -,ELJAZOULI30@GMAIL.COM,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
GALLATE,DOUAR GALLATE COMMUNE BNI GMIL MAKSOLINE,CERCLE BNI BOUFRAH,539843131,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Bni Gmil Maksouline
BENI GMIL,DOUAR BNI GMIL COMMUNE BNI GMIL,CERCLE BNI BOUFRAH,539843104,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Bni Gmil
IACHIREN,DOUAR IACHIREN COMMUNE BNI GMIL,CERCLE BNI BOUFRAH,676040803,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Bni Gmil
IMACHHOUDEN,DOUAR IMACHHOUDEN COMMUNE BNI GMIL,CERCLE BNI BOUFRAH,660143777,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Bni Gmil
CHAKRANE,DOUAR CHAKRANE COMMUNE CHAKRANE,CERCLE BNI WARIAGHAL,660126087,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Chakrane
TAFSASTE,DOUAR TAFSASTE COMMUNE CHAKRANE,CERCLE BNI WARIAGHAL,660143811,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Chakrane
ASSAMAR HAUT,DOUAR ASSAMAR HAUT COMMUNE CHAKRANE,CERCLE BNI WARIAGHAL,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Chakrane
ARBIAE TAOURIRT,DOUAR TAOURIRT COMMUNE ARBAA TAOURIRT,CERCLE BNI WARIAGHAL,39843095,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Arbaa Taourirt
BAYENTI,DOUAR BEINTI COMMUNE ARBAA TAOURIRT,CERCLE BNI WARIAGHAL,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Arbaa Taourirt
OUAADIA,DOUAR OUAADIA COMMUNE ARBAA TAOURIRT,CERCLE BNI WARIAGHAL,539843161,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Arbaa Taourirt
ISSOUFYENE,DOUAR ISSOUFIANE COMMUNE TIFAROUINE,CERCLE BNI WARIAGHAL,-  -  -,-  -  -,NULL,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Tifarouine
AIT TAA,DOUAR AIT TAA COMMUNE TIFAROUINE,CERCLE BNI WARIAGHAL,-  -  -,-  -  -,NULL,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Tifarouine
AMNOUD,DOUAR AMNOUD COMMUNE NEKKOUR,CERCLE BNI WARIAGHAL,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Nekkour
BNI BOUKHLAF,DOUAR BNI BOUKHLAF COMMUNE NEKKOUR,CERCLE BNI WARIAGHAL,668475623,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Nekkour
s/s TAZOURAKHT,DOUAR TAZOURAKHT COMMUNE NEKKOUR,alhoceima,660126362,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Nekkour
TAZOURAKHT HAUT,DOUAR TAZOURAKHT HAUT COMMUNE NEKKOUR,CERCLE BNI WARIAGHAL,-  -  -,-  -  -,kserjdid@hotmail.com,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Nekkour
BNI ABDELLAH,DOUAR BNI ABDELLAH COMMUNE BNI ABDELLAH,CERCLE BNI WARIAGHAL,539843108,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Bni Abdellah
BOUJNANE,DOUAR BOUJNANE COMMUNE BNI ABDELLAH,CERCLE BNI WARIAGHAL,-  -  -,-  -  -,NULL,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Bni Abdellah
AL ABOUAB,DOUAR AL ABOUAB COMMUNE BNI ABDELLAH,al hoceima,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Bni Abdellah
BOUSSALAH,DOUAR BOUSSALAH COMMUNE BNI ABDELLAH,CERCLE BNI WARIAGHAL,-  -  -,-  -  -,NULL,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Bni Abdellah
ZAOUIA,DOUAR ZAOUIA COMMUNE ZAOUIT SIDI ABDELKADER,CERCLE BNI WARIAGHAL,539843112,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Zaouit Sidi Abdelkader
AGHZAR AISSA,DOUAR AGHZAR AISSA COMMUNE ZAOUIT SIDI ABDELKADER,CERCLE BNI WARIAGHAL,39843125,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Zaouit Sidi Abdelkader
TAMCHAT,DOUAR TAMCHAT COMMUNE ZAOUIT SIDI ABDELKADER,CERCLE BNI WARIAGHAL,539843113,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Zaouit Sidi Abdelkader
BNI HADIFA,ROUTE PRINCIPALE N9 COMMUNE BNI HADIFA,CERCLE BNI WARIAGHAL,539810242,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Bni Hadifa
TAMARKALTE,DOUAR TAMARKALATE COMMUNE BNI HADIFA,CERCLE BNI WARIAGHAL,660143795,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Bni Hadifa
IHAROUNEN 1,DOUAR IHAROUNEN COMMUNE BNI HADIFA,CERCLE BNI WARIAGHAL,-  -  -,-  -  -,NULL,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Bni Hadifa
AJDIR,cpmmune urbaine d ajdir,al hoceima,539843128,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Ait Youssef Ou Ali
AIT HICHAM,DOUAR AIT HICHAM COMMUNE AIT YOUSSEF OU ALI,CERCLE BNI WARIAGHAL,39843127,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Ait Youssef Ou Ali
AJDIR MIXTE,Quartier Douali Ajdir,AL HOCEIMA,539802775,-  -  -,ssmokhtalita@hotmail.com,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Ait Youssef Ou Ali
SOUANI,DOUAR SOUANI COMMUNE AIT YOUSSEF OU ALI,CERCLE BNI WARIAGHAL,539843110,-  -  -,s.s.souani@hotmail.com,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Ait Youssef Ou Ali
SIDI BOUAFIF,DOUAR SIDI BOUAFIF COMMUNE AIT YOUSSEF OU ALI,alhoceima,660119948,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Ait Youssef Ou Ali
TAMASSINT I,DOUAR TAMASSINT COMMUNE IMRABTEN,CERCLE BNI WARIAGHAL,539819807,-  -  -,chograni_hamid@hotmail.fr,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Imrabten
TAMASSINT II,DOUAR TAMASSINT COMMUNE IMRABTEN,CERCLE BNI WARIAGHAL,39819108,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Imrabten
AIT ALKADI,DOUAR AIT ALKADI COMMUNE IMRABTEN,CERCLE BNI WARIAGHAL,539843152,,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Imrabten
IMRABTEN,DOUAR IMRABTEN COMMUNE LOUTA,CERCLE BNI WARIAGHAL,-  -  -,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Louta
IAKIYNE,DOUAR IAKIYNE COMMUNE LOUTA,CERCLE BNI WARIAGHAL,-  -  -,-  -  -,NULL,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Louta
IZAMMOUREN,DOUAR IZAMMOUREN COMMUNE IZAMMOUREN,CERCLE BNI WARIAGHAL,539843415,-  -  -,medoli7@yahoo.fr,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Izemmouren
ROUADI I,DOUAR ROUADI COMMUNE ROUADI,al hoceima,39809472,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Rouadi
BOUGHAMBOU,DOUAR BOUGHAMBOU COMMUNE ROUADI,CERCLE BNI WARIAGHAL,-  -  -,-  -  -,NULL,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Rouadi
ROUADI II,DOUAR ROUADI COMMUNE ROUADI,al hoceima,539809477,-  -  -,,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Taza  - Al Hoceima - Taounate,Al Houceima,Rouadi
